input_α	input_α_cumu	sampled_α	sampled_α_cumu
-0.98318	-0.53477	-0.2359	-0.19878
-0.44109	-0.09865	-0.02935	-0.06478
-0.36212	-0.03715	-0.04021	-0.01641
-0.22505	0.00037	0.01746	0.01502
-0.15285	0.02131	0.04394	0.0338
-0.15758	0.03492	0.08745	0.04477
-0.20033	0.04785	0.04937	0.06058
-0.05109	0.06205	0.0568	0.07615
-0.02497	0.06829	0.1286	0.081
0.01027	0.07311	0.06706	0.08357
-0.06257	0.07633	0.18952	0.09545
0.04442	0.08264	0.07422	0.09978
-0.02402	0.08426	0.09852	0.10859
0.01608	0.08862	0.1002	0.10989
0.00087	0.09147	0.16257	0.11292
0.02592	0.09489	0.19353	0.11931
0.0995	0.09737	0.15734	0.11699
0.06579	0.09729	0.0499	0.12323
0.10596	0.09835	0.12115	0.12681
-0.04676	0.09808	0.06733	0.13296
0.02396	0.10253	0.00144	0.13241
-0.13217	0.10507	0.08647	0.13375
0.15339	0.11181	0.22843	0.14066
0.06888	0.11044	0.07806	0.14355
0.18459	0.11171	0.17887	0.13876
0.21182	0.10942	0.01686	0.14618
-0.01806	0.10612	0.10272	0.14484
0.11234	0.10969	0.17168	0.14919
0.1531	0.10962	0.12183	0.15233
-0.01903	0.10838	0.11107	0.15069
0.043	0.11192	0.24409	0.15289
-0.14755	0.11387	0.12136	0.1504
-0.04517	0.12008	0.17168	0.1551
0.03279	0.12441	0.15048	0.16384
0.02149	0.12692	0.27261	0.15137
0.08624	0.12972	8.0e-5	0.15383
0.14665	0.13094	0.06756	0.16366
0.23213	0.1305	0.18431	0.15725
-0.10371	0.12748	0.19601	0.16009
0.0435	0.13294	0.12507	0.15762
0.13437	0.13531	0.22182	0.15729
0.1543	0.13533	0.23554	0.15617
0.13108	0.13475	0.20813	0.16505
0.14487	0.13485	0.09085	0.16222
0.17285	0.13453	0.26707	0.1636
0.16306	0.13339	0.07578	0.16836
0.08983	0.13261	0.25359	0.1658
0.14404	0.13387	0.15524	0.1599
0.22871	0.13353	0.1011	0.17879
0.10001	0.13067	0.06674	0.16152
0.19173	0.13158	0.21621	0.17764
0.34614	0.12975	0.17864	0.16245
0.03907	0.12228	0.08655	0.1699
0.28597	0.12478	0.30006	0.17332
0.07872	0.11949	0.15724	0.17124
0.25225	0.12073	0.09516	0.16794
0.20813	0.11683	0.13896	0.16617
-0.27743	0.11385	0.06307	0.16731
0.2023	0.12342	-0.12946	0.1621
0.21491	0.12073	0.13281	0.17918
0.15559	0.11781	0.14495	0.17683
0.12444	0.11661	0.16673	0.17004
0.04082	0.11631	0.21586	0.17091
0.07191	0.11834	0.18954	0.15667
0.2075	0.1198	0.35109	0.17399
0.17997	0.1166	0.3773	0.17527
-0.05952	0.11451	0.13885	0.16804
0.17886	0.12014	0.15473	0.17297
-0.01501	0.11791	0.10916	0.16681
0.07419	0.12253	0.09541	0.1588
-0.02002	0.12464	0.18631	0.16451
0.10727	0.1302	0.28156	0.16785
0.12745	0.13121	0.04368	0.1607
0.0126	0.13136	0.39689	0.17358
0.01841	0.13615	0.42652	0.16913
-0.06226	0.14064	0.05507	0.15715
0.39281	0.14836	0.07106	0.15448
0.10779	0.13555	-0.07464	0.16196
-0.01934	0.13715	0.285	0.15542
0.21825	0.14408	0.19388	0.16351
0.0619	0.14004	0.22602	0.14171
-0.22402	0.14454	0.24304	0.15809
0.09494	0.16418	0.28256	0.16424
0.18126	0.16839	0.32044	0.14272
0.3723	0.16749	0.1623	0.13914
0.16306	0.15075	0.07646	0.14884
0.27187	0.14987	0.28484	0.15353
0.20068	0.13817	0.20227	0.1385
0.24964	0.13233	-0.01605	0.14075
0.2477	0.12054	0.24113	0.13232
0.18106	0.10598	0.07039	0.15415
-0.0806	0.09577	0.01095	0.14458
0.34305	0.1188	0.35152	0.15509
0.08891	0.07806	0.38357	0.12847
0.26089	0.07608	0.25187	0.12007
0.01537	0.03611	-0.02709	0.11526
0.10664	0.04101	-0.0784	0.13071
-0.03942	0.01166	0.15158	0.12451
0.18425	0.03477	-0.09674	0.01409
-0.16882	-0.16882	-0.11483	-0.08007
