input_α	input_α_cumu	sampled_α	sampled_α_cumu
-1.05543	-0.58866	-0.29076	-0.24329
-0.47988	-0.13803	-0.08352	-0.10892
-0.37698	-0.07654	-0.06384	-0.06139
-0.29195	-0.04218	-0.06355	-0.03465
-0.23906	-0.01977	-0.0122	-0.00922
-0.18166	-0.00369	0.00414	0.00551
-0.18653	0.0083	0.01305	0.01788
-0.1055	0.01977	0.02506	0.02762
-0.1355	0.02654	0.04549	0.03353
-0.0907	0.03447	0.02802	0.04526
-0.0579	0.04038	0.05986	0.04844
-0.1356	0.04477	0.06472	0.05211
-0.10512	0.05177	0.06054	0.05979
-0.03263	0.05781	-0.0023	0.0675
-0.05172	0.06138	0.01384	0.07095
-0.03033	0.06547	0.10185	0.07394
-0.04607	0.069	0.08778	0.0769
0.01289	0.07312	0.03604	0.08381
-0.081	0.07528	0.08104	0.08136
0.03881	0.08019	0.10981	0.08627
-0.04648	0.08151	0.10024	0.08576
0.06989	0.08559	0.11347	0.08542
0.05805	0.0861	0.07749	0.08793
0.02445	0.08699	0.09115	0.10384
-0.00681	0.08887	0.10398	0.0969
0.07576	0.09164	0.11458	0.09517
0.07317	0.0921	0.10663	0.09951
0.02014	0.09269	0.10098	0.10221
0.0992	0.09463	0.14016	0.10294
0.14864	0.09449	0.03901	0.1071
0.04913	0.09288	0.1774	0.10672
0.02499	0.09418	0.14706	0.10508
0.09154	0.09601	0.15062	0.10964
0.086	0.09614	0.17341	0.11121
0.01496	0.09643	0.09749	0.1111
0.07968	0.09859	0.11738	0.10487
0.02407	0.09912	0.03986	0.11403
0.05603	0.10103	0.03144	0.111
0.03256	0.10232	0.17597	0.11064
0.06891	0.10426	0.01746	0.10866
0.20721	0.10523	0.20058	0.11042
0.1209	0.10227	0.10345	0.11776
0.08596	0.10175	0.0742	0.11833
0.14013	0.10222	0.07607	0.11981
0.08803	0.10104	0.11673	0.11897
0.0487	0.10139	0.10451	0.11914
0.07114	0.10283	-0.01498	0.11988
0.14676	0.10372	0.14302	0.11567
0.04482	0.10245	0.1021	0.118
0.12765	0.10396	0.25015	0.11588
0.12738	0.10326	0.02252	0.11333
0.13415	0.10255	0.08911	0.11851
0.15561	0.10159	0.1635	0.12067
0.0523	0.10002	0.14891	0.12164
0.0736	0.10148	0.03116	0.1139
0.21652	0.10235	0.18131	0.11535
0.00351	0.09851	0.07724	0.11141
0.10709	0.10121	0.02613	0.11521
0.17966	0.10102	0.08013	0.1106
0.10204	0.09842	0.00068	0.11185
0.21479	0.0983	0.07798	0.11741
0.11676	0.09442	0.03775	0.11118
0.13336	0.09366	0.14723	0.11156
-0.00788	0.09227	0.0697	0.11679
0.15457	0.09536	0.13688	0.11794
0.19852	0.09321	0.10546	0.12257
-0.0393	0.08905	0.10808	0.11136
0.16694	0.09302	0.03181	0.12308
0.13283	0.08999	0.01302	0.11117
0.06867	0.08834	0.08823	0.11544
0.06408	0.08914	0.10643	0.11632
0.1227	0.0902	0.03212	0.11801
0.05955	0.08886	0.07612	0.11401
0.02844	0.09005	0.13102	0.11061
0.15827	0.09279	0.17831	0.10839
0.1691	0.08989	0.13207	0.10425
0.09714	0.08564	0.20088	0.09813
0.21986	0.08506	0.02472	0.09685
-0.01544	0.07759	0.13307	0.11098
0.15133	0.08186	0.04595	0.09396
0.11695	0.07736	0.03023	0.10526
0.18631	0.07491	0.0692	0.09847
0.23487	0.06798	0.07101	0.10953
-0.02838	0.05488	-0.05743	0.10668
0.0687	0.05971	0.05016	0.1064
0.29204	0.059	0.04289	0.09951
0.20891	0.03783	0.03292	0.09336
-0.01143	0.02246	0.08091	0.09253
0.23724	0.02538	0.11301	0.09414
-0.12253	0.00407	0.19406	0.07981
0.07114	0.01706	0.11076	0.07433
0.05245	0.01052	-0.17312	0.1009
-0.0122	0.0048	0.29287	0.07576
0.02249	0.00703	-0.0279	0.09239
-0.15968	0.00437	0.09929	0.05629
0.05599	0.03373	0.16939	0.07294
0.17611	0.02847	0.07876	0.07795
-0.09954	-0.02049	0.24706	0.06137
0.02968	0.01743	0.09261	0.08309
0.00528	0.00528	-0.06792	-0.05629
