input_α	input_α_cumu	sampled_α	sampled_α_cumu
-0.63226	-0.18569	-0.07774	-0.02272
-0.13897	0.13693	0.10495	0.10963
-0.02587	0.18897	0.17569	0.15058
0.02811	0.21577	0.15436	0.17457
0.05101	0.23394	0.17364	0.19347
0.09535	0.24856	0.18458	0.20755
0.12387	0.25904	0.19916	0.21787
0.14851	0.26758	0.19545	0.22511
0.1408	0.27448	0.2275	0.23337
0.13908	0.28157	0.26264	0.24078
0.17185	0.28845	0.2765	0.24491
0.17612	0.29379	0.27528	0.25228
0.21612	0.29911	0.25665	0.25323
0.18101	0.30264	0.24388	0.25813
0.25363	0.30728	0.24939	0.26377
0.24814	0.30943	0.24188	0.26411
0.19759	0.31187	0.27851	0.27039
0.19534	0.31597	0.2697	0.27068
0.26045	0.32023	0.24678	0.27618
0.27334	0.32236	0.25947	0.27789
0.26931	0.32407	0.29021	0.27885
0.30889	0.32581	0.23358	0.28296
0.28474	0.32637	0.23896	0.28219
0.33953	0.32769	0.28795	0.2867
0.30083	0.32729	0.25993	0.28872
0.35451	0.32818	0.35051	0.28709
0.29811	0.32733	0.24011	0.29021
0.33069	0.32823	0.30277	0.29635
0.2631	0.32816	0.23439	0.29523
0.35973	0.33001	0.26794	0.29608
0.28854	0.3291	0.25984	0.30142
0.22942	0.3303	0.29599	0.30222
0.29503	0.33332	0.28734	0.30093
0.25144	0.33445	0.34056	0.30361
0.31685	0.33684	0.29359	0.30553
0.37005	0.3374	0.27034	0.30362
0.3004	0.33646	0.23568	0.30372
0.22626	0.33747	0.40372	0.30544
0.27073	0.34033	0.27304	0.30697
0.33243	0.34225	0.38399	0.30277
0.37099	0.34253	0.27641	0.31298
0.35268	0.3417	0.34944	0.31236
0.37251	0.34137	0.33214	0.31135
0.38363	0.34042	0.35714	0.30824
0.28608	0.33917	0.2951	0.31048
0.43941	0.34071	0.28089	0.31152
0.33582	0.33758	0.41764	0.31257
0.365	0.33763	0.27249	0.31361
0.38095	0.33683	0.31597	0.31759
0.27557	0.33552	0.39153	0.31477
0.34176	0.33733	0.29549	0.31107
0.39684	0.33719	0.37038	0.30944
0.31527	0.33525	0.23807	0.31346
0.39019	0.33583	0.33305	0.31481
0.39405	0.334	0.3689	0.3151
0.41281	0.33204	0.35701	0.31968
0.30602	0.32932	0.41947	0.3174
0.3407	0.32999	0.34384	0.32067
0.33295	0.32967	0.31776	0.31541
0.36205	0.32956	0.27363	0.31494
0.38056	0.32845	0.32123	0.32329
0.33613	0.3266	0.14197	0.31896
0.36829	0.32629	0.27832	0.31873
0.41032	0.32477	0.32569	0.30945
0.30187	0.32171	0.36033	0.31479
0.30862	0.32245	0.39059	0.31543
0.14949	0.32299	0.34763	0.31176
0.39379	0.32908	0.39049	0.3088
0.33457	0.32629	0.30454	0.31935
0.32603	0.32594	0.32019	0.31348
0.33277	0.32594	0.38093	0.31024
0.35267	0.32565	0.28785	0.30828
0.30971	0.3246	0.32973	0.31496
0.31888	0.32525	0.42151	0.30565
0.36006	0.32551	0.37454	0.31487
0.33065	0.32407	0.3711	0.31749
0.43779	0.32372	0.30263	0.30806
0.11225	0.31783	0.35781	0.30958
0.29266	0.32667	0.29623	0.31073
0.39022	0.32846	0.36877	0.30896
0.41713	0.32479	0.28679	0.30744
0.36095	0.31905	0.34676	0.30803
0.38484	0.31636	0.41289	0.30412
0.3077	0.3122	0.32478	0.30261
0.30136	0.31249	0.3833	0.31046
0.33665	0.31325	0.20621	0.29202
0.34159	0.31171	0.2839	0.30425
0.21009	0.3094	0.31214	0.28759
0.3358	0.31783	0.22081	0.29808
0.31622	0.31602	0.38477	0.29671
0.31973	0.316	0.3148	0.27176
0.36789	0.3156	0.31172	0.28556
0.37108	0.30878	0.33123	0.27934
0.34975	0.29942	0.18996	0.27373
0.27211	0.29067	0.29177	0.26702
0.35946	0.29439	0.31578	0.2378
0.28271	0.27723	0.18127	0.24415
0.35299	0.27549	0.18453	0.20322
0.26214	0.23416	0.2991	0.20117
0.20398	0.20398	0.1242	0.15149
