input_α	input_α_cumu	sampled_α	sampled_α_cumu
-0.93948	-0.4882	-0.20333	-0.15102
-0.36594	-0.04977	-0.01903	-0.02276
-0.24611	0.00713	-0.00385	0.02443
-0.1866	0.03722	0.03772	0.05346
-0.21311	0.0587	0.10005	0.06912
-0.17695	0.07931	0.12011	0.08818
-0.10054	0.09629	0.05137	0.1003
-0.11632	0.10771	0.11781	0.10855
-0.11513	0.11971	0.09744	0.11723
-0.03623	0.13126	0.0889	0.13288
-0.04183	0.13919	0.18235	0.13412
-0.00972	0.14744	0.14988	0.14262
0.07599	0.15429	0.15621	0.15043
-0.0308	0.15752	0.0987	0.14969
0.07801	0.16379	0.1548	0.15601
-0.07176	0.16694	0.14516	0.15609
0.09729	0.17448	0.2407	0.16503
0.09945	0.17727	0.21665	0.17074
-0.02983	0.17982	0.18594	0.17012
0.15619	0.18618	0.16203	0.17109
0.07839	0.18715	0.07557	0.17599
0.23182	0.19062	0.18422	0.16818
0.21153	0.18928	0.21684	0.17679
0.12963	0.18853	0.11817	0.18427
0.05364	0.19041	0.1577	0.18252
0.03813	0.19427	0.31811	0.18353
0.16443	0.19843	-0.01027	0.1933
0.26403	0.19946	0.1548	0.19021
0.07772	0.19727	0.04456	0.19619
0.19305	0.20049	0.1927	0.19822
0.01356	0.20069	0.18042	0.20233
0.22789	0.20564	0.26911	0.19878
0.2171	0.20495	0.08786	0.19243
0.27388	0.20461	0.14146	0.19828
0.02902	0.20234	0.23055	0.1945
0.17661	0.20669	0.1548	0.1997
0.18928	0.20756	0.22091	0.20546
0.04595	0.20804	0.24169	0.19647
0.21931	0.2127	0.21219	0.20134
0.19899	0.21252	0.12532	0.21133
0.2391	0.2129	0.34066	0.21096
0.2252	0.21209	0.21703	0.20467
0.26082	0.21173	0.24763	0.20734
0.31645	0.2102	0.16925	0.21404
0.22479	0.20714	0.1548	0.19669
0.21667	0.20667	0.22785	0.21419
0.18357	0.20638	-0.03669	0.20179
0.23371	0.20704	0.26615	0.22153
0.00622	0.20622	0.31328	0.20856
0.17727	0.21159	0.20031	0.22007
0.16313	0.21263	0.04524	0.20655
0.21295	0.21404	0.20325	0.22188
0.1761	0.21407	0.14776	0.21811
0.26735	0.21521	0.07235	0.22143
0.20268	0.21343	0.21332	0.20764
0.21007	0.21377	0.35882	0.21732
0.02565	0.21389	0.24942	0.20827
0.17554	0.21957	0.13154	0.21164
0.16033	0.22105	0.38958	0.21587
0.25561	0.22306	0.10252	0.22209
0.0795	0.22197	0.11377	0.22103
0.38166	0.22627	0.1842	0.21746
0.28173	0.22028	0.25594	0.21471
0.33028	0.2179	0.30921	0.21054
-0.03344	0.21334	0.24952	0.20759
0.31051	0.22153	0.26808	0.21656
0.20672	0.21792	0.19039	0.22226
0.12405	0.21833	0.09141	0.22246
0.2073	0.22167	0.10263	0.21646
0.18928	0.22222	0.20176	0.22398
0.28355	0.22339	0.18499	0.2177
0.33838	0.22103	0.01587	0.21625
0.38315	0.21619	0.20452	0.21313
0.24438	0.20858	0.05212	0.22851
0.3901	0.20665	0.45231	0.20472
0.25605	0.19557	0.17493	0.21275
0.20039	0.19258	0.16623	0.20787
0.27813	0.19224	0.28968	0.2061
0.3477	0.18825	0.05957	0.20896
0.32728	0.17892	0.04084	0.21257
0.17753	0.16891	0.30651	0.21452
-0.15424	0.16846	0.34373	0.20937
0.23535	0.18351	0.05984	0.22085
0.38183	0.17964	0.11518	0.21462
0.12967	0.16489	0.10651	0.20471
0.26412	0.16722	0.30618	0.21484
0.12355	0.16069	0.05375	0.18759
0.38919	0.16378	0.07557	0.19905
-0.12363	0.14364	0.28776	0.20809
-0.06809	0.16368	0.17861	0.18344
0.12077	0.18463	0.05236	0.21983
0.21462	0.19187	0.09938	0.18981
0.28529	0.18928	0.37825	0.16664
0.32592	0.17427	0.21269	0.17845
0.14735	0.14027	0.01128	0.20211
0.03872	0.13906	0.0977	0.14852
0.17641	0.16517	0.11579	0.12552
0.18928	0.16173	-0.01688	0.1083
0.10061	0.14755	0.04915	0.08873
0.18928	0.18928	-0.00729	0.11705
