analysis	ci
noDemog_0.4_0.1_0.2	0.677677677677678
noDemog_0.4_0.3_0.2	0.753753753753754
noDemog_0.4_0.1_0.999	0.452452452452453
noDemog_0.4_0.3_0.999	0.823823823823824
