α_weak,α_strong,α,gam_neg,shape,analysis,method
0.0461085,0.193257,0.241674,575.111,0.155754,isolation_0.4_0.1_0.2,abc_mk
0.0254292,0.177874,0.208676,581.564,0.141657,isolation_0.4_0.1_0.2,abc_mk
0.0266372,0.194408,0.218912,649.612,0.147514,isolation_0.4_0.1_0.2,abc_mk
0.0269742,0.191613,0.218784,625.588,0.149727,isolation_0.4_0.1_0.2,abc_mk
0.0410162,0.177471,0.22487,625.259,0.149203,isolation_0.4_0.1_0.2,abc_mk
0.0373828,0.182143,0.218536,598.329,0.148823,isolation_0.4_0.1_0.2,abc_mk
0.0343893,0.187847,0.222946,580.029,0.149994,isolation_0.4_0.1_0.2,abc_mk
0.0353149,0.182483,0.21821,570.303,0.149317,isolation_0.4_0.1_0.2,abc_mk
0.0267228,0.191851,0.225609,583.068,0.149531,isolation_0.4_0.1_0.2,abc_mk
0.019856,0.161684,0.193287,1222.04,0.140793,isolation_0.4_0.1_0.2,abc_mk
0.0160172,0.1752,0.198048,556.714,0.143775,isolation_0.4_0.1_0.2,abc_mk
0.0318922,0.183513,0.212185,1476.07,0.144839,isolation_0.4_0.1_0.2,abc_mk
0.018106,0.194616,0.213738,531.173,0.147194,isolation_0.4_0.1_0.2,abc_mk
0.053549,0.187001,0.233136,625.772,0.150867,isolation_0.4_0.1_0.2,abc_mk
0.0302479,0.184091,0.216612,646.193,0.149864,isolation_0.4_0.1_0.2,abc_mk
0.0837503,0.168137,0.228155,594.741,0.149389,isolation_0.4_0.1_0.2,abc_mk
0.0431328,0.174108,0.225876,595.993,0.150643,isolation_0.4_0.1_0.2,abc_mk
0.0261082,0.185524,0.213023,619.495,0.142532,isolation_0.4_0.1_0.2,abc_mk
0.0434586,0.16618,0.215314,608.465,0.147231,isolation_0.4_0.1_0.2,abc_mk
0.0194997,0.157092,0.180276,677.286,0.135115,isolation_0.4_0.1_0.2,abc_mk
0.03449,0.201629,0.233619,641.494,0.150475,isolation_0.4_0.1_0.2,abc_mk
0.0508928,0.174057,0.219637,646.658,0.145991,isolation_0.4_0.1_0.2,abc_mk
0.0496884,0.180099,0.226328,659.457,0.14778,isolation_0.4_0.1_0.2,abc_mk
0.0303352,0.192928,0.221053,653.097,0.150788,isolation_0.4_0.1_0.2,abc_mk
0.0229562,0.202387,0.223331,579.583,0.150687,isolation_0.4_0.1_0.2,abc_mk
0.0228133,0.179989,0.207062,605.506,0.144288,isolation_0.4_0.1_0.2,abc_mk
0.0234156,0.192533,0.216973,535.269,0.149971,isolation_0.4_0.1_0.2,abc_mk
0.100715,0.136985,0.21842,1434.37,0.146471,isolation_0.4_0.1_0.2,abc_mk
0.021099,0.190362,0.213616,656.588,0.145904,isolation_0.4_0.1_0.2,abc_mk
0.0295587,0.184568,0.215721,612.558,0.14453,isolation_0.4_0.1_0.2,abc_mk
0.0197362,0.193158,0.217256,549.053,0.148794,isolation_0.4_0.1_0.2,abc_mk
0.0260795,0.184478,0.21087,587.005,0.145485,isolation_0.4_0.1_0.2,abc_mk
0.0422352,0.17249,0.21339,636.142,0.14471,isolation_0.4_0.1_0.2,abc_mk
0.0192114,0.178084,0.200894,601.758,0.142804,isolation_0.4_0.1_0.2,abc_mk
0.0822759,0.173463,0.241475,623.256,0.158412,isolation_0.4_0.1_0.2,abc_mk
0.0432296,0.19075,0.231852,588.075,0.153153,isolation_0.4_0.1_0.2,abc_mk
0.0268575,0.202306,0.230999,574.577,0.15219,isolation_0.4_0.1_0.2,abc_mk
0.0206667,0.16683,0.195351,580.97,0.139675,isolation_0.4_0.1_0.2,abc_mk
0.0327165,0.16219,0.201855,592.136,0.139067,isolation_0.4_0.1_0.2,abc_mk
0.0304422,0.184926,0.211983,558.175,0.147765,isolation_0.4_0.1_0.2,abc_mk
0.106973,0.158662,0.245722,628.524,0.151463,isolation_0.4_0.1_0.2,abc_mk
0.0447649,0.188635,0.229554,596.542,0.154607,isolation_0.4_0.1_0.2,abc_mk
0.0846232,0.181846,0.25129,1475.98,0.157805,isolation_0.4_0.1_0.4,abc_mk
0.198708,0.0998275,0.287434,1423.46,0.166039,isolation_0.4_0.1_0.4,abc_mk
0.221174,0.115187,0.308828,1453.33,0.1719,isolation_0.4_0.1_0.4,abc_mk
0.237074,0.102254,0.323554,1463.54,0.174575,isolation_0.4_0.1_0.4,abc_mk
0.188449,0.107784,0.27304,1468.42,0.161151,isolation_0.4_0.1_0.4,abc_mk
0.163776,0.118026,0.262531,1490.43,0.154872,isolation_0.4_0.1_0.4,abc_mk
0.189992,0.102963,0.271553,1493.89,0.157974,isolation_0.4_0.1_0.4,abc_mk
