analysis	α_weak	α_strong	α	γ	β
DNAonly_VIPs	0.10124320041710287	0.11904495605415162	0.22028774210288807	1106.9902129963898	0.18799788492779784
DNAonly_nonVIPs	0.13694358406695276	0.09622198420987124	0.23316553557939917	1110.3582381974247	0.17842426995708152
DNAonly_nonVIPs	0.1304184322337791	0.11173075915012942	0.2421492678602244	1126.743962036238	0.19921372821397756
DNAonly_nonVIPs	0.16165566911321566	0.12513001978519156	0.2867861175204477	1167.9892780886785	0.19269063452432203
DNAonly_nonVIPs	0.1418670595250432	0.11653280932512955	0.25840009585492235	1101.8232292746113	0.17836832297063904
DNAonly_nonVIPs	0.14258763229291205	0.10230264256148591	0.24489024701110165	1132.5451255337318	0.1788606605465414
DNAonly_nonVIPs	0.09076813454788923	0.09317432539400815	0.18394250331366316	1087.505465728552	0.17807144620971405
DNAonly_nonVIPs	0.1874103519530917	0.11024789651428572	0.2976584068230277	1165.2299304904052	0.21044756801705755
DNAonly_nonVIPs	0.10319962867956989	0.07718435495690322	0.18038379182795697	1213.08883827957	0.17617011483870967
DNAonly_nonVIPs	0.1842200629032258	0.13350680584215058	0.31772716430107534	1111.281770752688	0.20142916387096774
DNAonly_nonVIPs	0.13830654385167465	0.14032216079208354	0.27862872031317965	1096.0559343192692	0.19249521444106132
DNAonly_nonVIPs	0.09060016668237986	0.062189304814508	0.15278964004576656	1134.7858713958808	0.16096346270022885
DNAonly_nonVIPs	0.12342271406143346	0.07116916471160409	0.19459167700511945	1098.4031053754268	0.17642113267918086
DNAonly_nonVIPs	0.1546761660261354	0.09721264176692371	0.2518885923307627	1116.480233504713	0.20154682305055696
DNAonly_nonVIPs	0.18581951785561723	0.09697589792382313	0.2827954532251175	1152.1145548910724	0.18996000299017515
DNAonly_nonVIPs	0.13733186670116934	0.1081345027423127	0.2454662619315721	1121.8615608488522	0.19405464400173233
DNAonly_nonVIPs	0.16717571928177508	0.1274659960845756	0.29464180224041364	1098.465681602757	0.20212253425247736
DNAonly_nonVIPs	0.14858053712211783	0.12433680183603757	0.27291732032450894	1146.5849658411614	0.17554891332194703
DNAonly_nonVIPs	0.1300448829172029	0.07908860805705704	0.20913374856284858	1116.3702561132561	0.17665108966108964
DNAonly_nonVIPs	0.17663362840899444	0.0875838251887993	0.2642175413661434	1156.1214348748408	0.20227560330929148
DNAonly_nonVIPs	0.11027357212333476	0.0780954260988397	0.1883690233777396	1119.4239922647184	0.1784015414697035
DNAonly_nonVIPs	0.1414944668114091	0.07819666521413367	0.21969092051936992	1141.9468356747552	0.18201543593018304
DNAonly_nonVIPs	0.18504239738905645	0.14972941170659193	0.3347717673416631	1147.6637078845326	0.2045903205514864
DNAonly_nonVIPs	0.1307109058692206	0.17316479675649496	0.30387574724790845	1096.5819764861292	0.19593900968736241
DNAonly_nonVIPs	0.14795730235309276	0.1154064889338488	0.26336395262027495	1097.921100945017	0.20255214390034362
DNAonly_nonVIPs	0.08581521305600989	0.06913967473324338	0.15495493490778225	1085.5761826360772	0.15962650967161493
DNAonly_nonVIPs	0.12170668857922078	0.1213756309030303	0.2430822956277056	1095.708381082251	0.181922325974026
DNAonly_nonVIPs	0.14021356525481796	0.11383834308950748	0.2540521016702355	1142.3081237687368	0.18041016873661675
DNAonly_nonVIPs	0.19586338619371282	0.07494148156032286	0.2708046494477485	1199.0569915038232	0.18187919371282923
DNAonly_nonVIPs	0.19247266093816637	0.14609369554413648	0.3385662904051173	1142.7582268656718	0.2090751343283582
DNAonly_nonVIPs	0.1322505930017369	0.1036029604841511	0.2358536084237951	1154.8411524099001	0.17965300911854107
