aw	as	a	gamNeg	shape	analysis	b	w	method
0.137008	-0.0148874	0.115692	323.114	0.110989	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.173003	-0.0312773	0.133486	186.003	0.113429	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.196965	-0.0599085	0.133824	646.088	0.111816	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.140101	0.0114442	0.142581	601.817	0.119847	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.163318	-0.0416377	0.121032	710.587	0.113878	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.13094	-0.0127079	0.133543	793.714	0.112931	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.12731	-0.0357031	0.0958612	623.026	0.0969315	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.146902	-0.00250744	0.122442	468.273	0.110444	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.11253	0.0186594	0.132253	607.738	0.112383	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193691	-0.0975597	0.112691	760.83	0.107222	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.140049	-0.0364566	0.0995854	764.094	0.0974581	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.144754	-0.0103276	0.130498	244.96	0.117832	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.199858	-0.0422514	0.15893	476.638	0.122034	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.143382	-0.0153967	0.123453	199.482	0.109936	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.152711	-0.0381644	0.118459	782.607	0.109349	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.161857	-0.0702155	0.107407	623.898	0.105894	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172683	-0.0251375	0.141185	609.13	0.121563	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.170364	-0.0348068	0.12743	368.582	0.111553	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.20882	-0.0749945	0.129842	444.522	0.113023	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.186536	-0.0562578	0.108169	786.988	0.107731	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.164622	-0.0484198	0.115947	754.61	0.105914	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.169415	-0.0752015	0.115446	722.206	0.107173	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.169886	-0.0556506	0.117498	533.021	0.11087	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193862	-0.0697551	0.119395	582.401	0.109279	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.134848	0.00135676	0.148752	431.242	0.122421	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.189191	-0.0426845	0.135135	327.49	0.116364	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.186631	-0.0564133	0.125944	691.112	0.108335	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.159517	-0.0472056	0.107608	832.073	0.107524	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.194247	-0.0657643	0.115391	340.461	0.109707	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.18404	-0.0419526	0.12451	614.296	0.108786	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109589	0.0270337	0.130828	718.502	0.110658	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.1682	-0.037776	0.11302	516.506	0.108541	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.125579	-0.0506334	0.0687095	459.955	0.0934026	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.133911	-0.0205212	0.113068	703.784	0.10336	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.191391	-0.0540889	0.137649	766.973	0.119536	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.195274	-0.0348852	0.158087	459.792	0.120477	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.178712	-0.0780057	0.102619	598.671	0.102636	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0949238	0.0472081	0.149219	751.224	0.119539	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179933	-0.0677544	0.104841	464.903	0.102412	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.189942	-0.0673613	0.107033	855.399	0.101774	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.125619	-0.0451395	0.0749665	567.582	0.096886	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.167491	-0.0382277	0.122279	546.889	0.112901	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.161381	-0.022066	0.138297	590.149	0.115442	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.108403	0.0453938	0.148481	939.891	0.116217	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.195125	-0.0487271	0.141632	178.0	0.120749	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193593	-0.0478949	0.14404	479.178	0.120571	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179847	-0.0323506	0.136409	144.822	0.115462	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.093524	0.0295464	0.125108	822.171	0.111314	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.163134	-0.0276533	0.133965	211.797	0.117524	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.152844	-0.0424242	0.113975	382.133	0.106949	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.120764	-0.0146865	0.116942	375.018	0.109613	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179272	-0.0470066	0.131442	386.244	0.112245	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.199401	-0.0497753	0.134942	140.341	0.117592	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.200966	-0.0379839	0.159814	823.622	0.121238	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.113637	-0.00702861	0.109134	875.881	0.103456	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.081653	0.0381851	0.115581	519.259	0.105433	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179699	-0.0620621	0.117099	304.029	0.109255	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.177172	-0.0421888	0.125825	528.299	0.112561	isolation_0.4_0.1_0.2	0.2	0.1	ABC
