aw	as	a	analysis	b	w	method
0.137008	-0.0148874	0.115692	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.173003	-0.0312773	0.133486	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.196965	-0.0599085	0.133824	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.140101	0.0114442	0.142581	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.163318	-0.0416377	0.121032	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.13094	-0.0127079	0.133543	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.12731	-0.0357031	0.0958612	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.146902	-0.00250744	0.122442	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.11253	0.0186594	0.132253	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193691	-0.0975597	0.112691	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.140049	-0.0364566	0.0995854	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.144754	-0.0103276	0.130498	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.199858	-0.0422514	0.15893	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.143382	-0.0153967	0.123453	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.152711	-0.0381644	0.118459	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.161857	-0.0702155	0.107407	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172683	-0.0251375	0.141185	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.170364	-0.0348068	0.12743	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.20882	-0.0749945	0.129842	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.186536	-0.0562578	0.108169	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.164622	-0.0484198	0.115947	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.169415	-0.0752015	0.115446	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.169886	-0.0556506	0.117498	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193862	-0.0697551	0.119395	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.134848	0.00135676	0.148752	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.189191	-0.0426845	0.135135	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.186631	-0.0564133	0.125944	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.159517	-0.0472056	0.107608	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.194247	-0.0657643	0.115391	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.18404	-0.0419526	0.12451	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109589	0.0270337	0.130828	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.1682	-0.037776	0.11302	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.125579	-0.0506334	0.0687095	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.133911	-0.0205212	0.113068	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.191391	-0.0540889	0.137649	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.195274	-0.0348852	0.158087	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.178712	-0.0780057	0.102619	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0949238	0.0472081	0.149219	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179933	-0.0677544	0.104841	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.189942	-0.0673613	0.107033	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.125619	-0.0451395	0.0749665	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.167491	-0.0382277	0.122279	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.161381	-0.022066	0.138297	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.108403	0.0453938	0.148481	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.195125	-0.0487271	0.141632	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193593	-0.0478949	0.14404	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179847	-0.0323506	0.136409	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.093524	0.0295464	0.125108	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.163134	-0.0276533	0.133965	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.152844	-0.0424242	0.113975	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.120764	-0.0146865	0.116942	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179272	-0.0470066	0.131442	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.199401	-0.0497753	0.134942	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.200966	-0.0379839	0.159814	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.113637	-0.00702861	0.109134	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.081653	0.0381851	0.115581	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179699	-0.0620621	0.117099	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.177172	-0.0421888	0.125825	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.217559	-0.0693996	0.145264	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.22074	-0.0740519	0.140803	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193696	-0.0626457	0.126532	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.171198	-0.0652134	0.104647	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.209237	-0.0740462	0.12822	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156211	-0.00775276	0.150958	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.240363	-0.102128	0.135396	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.137263	-0.0345247	0.0968795	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.20441	-0.101706	0.106198	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.196337	-0.0538106	0.140687	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.133576	-0.0392153	0.0950808	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107599	-0.00824996	0.104672	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.127446	0.0153732	0.150991	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.157789	-0.0493145	0.118055	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.174907	-0.0569198	0.119667	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.184382	-0.0601479	0.12809	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.148468	-0.0358628	0.113384	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.147078	-0.0381583	0.11848	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.175101	-0.0502164	0.124044	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0787531	0.0174238	0.0912794	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.177479	-0.0749574	0.0999974	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156709	-0.0131844	0.126534	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.205735	-0.0480971	0.159158	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.12569	-0.00204983	0.125709	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.145898	-0.0282353	0.119314	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.155357	-0.0745266	0.0789829	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.167949	-0.0205721	0.149675	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.143313	-0.0428684	0.110969	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.170743	-0.0449177	0.112643	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.18502	-0.0917879	0.0949685	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.16401	-0.0328281	0.12545	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.201361	-0.0636999	0.132276	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.179818	-0.0438896	0.140295	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0899373	0.00318432	0.089695	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.129463	-0.0637125	0.0610111	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.181432	-0.076195	0.112861	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.232172	-0.160643	0.0750794	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.22976	-0.0831009	0.154532	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.193785	-0.0590651	0.137124	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.153494	-0.0260798	0.126612	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.212529	-0.0764927	0.119251	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172475	-0.0591641	0.11188	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.131442	-0.0403518	0.093525	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.116346	-0.041656	0.0792423	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.049732	0.0461546	0.082682	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0827341	-0.00165916	0.0792255	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.168432	-0.0785159	0.08389	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.115642	-0.0220261	0.10242	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.122602	-0.0274336	0.0927568	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.136552	-0.0500218	0.0807378	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.128009	-0.0512907	0.0912527	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.164834	-0.0592571	0.0975134	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.13256	-0.0186149	0.111166	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0699019	0.0624868	0.130556	isolation_0.4_0.2_0.2	0.2	0.2	ABC
