aw	as	a	analysis	b	w	method
0.0319542	0.195873	0.221487	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0969514	0.149595	0.232834	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.142809	0.12676	0.266349	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0600532	0.185856	0.241057	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156859	0.123495	0.258748	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0517809	0.193781	0.239359	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0990389	0.144777	0.230221	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0446811	0.1808	0.211919	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0275333	0.203021	0.217955	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0982843	0.146872	0.235057	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109439	0.131096	0.229298	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0035366	0.200004	0.208557	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0576204	0.183339	0.235111	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0423555	0.178296	0.220087	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0516225	0.181344	0.222286	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0843543	0.155983	0.234348	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.100015	0.159303	0.246129	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0706901	0.17001	0.229825	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.065687	0.16994	0.226125	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.114148	0.138087	0.233683	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0994433	0.155415	0.232982	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.112643	0.146873	0.254138	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.147641	0.126851	0.255384	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.138735	0.11655	0.246158	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0661569	0.188777	0.243041	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.103008	0.1561	0.23848	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.122594	0.145542	0.247503	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.100616	0.144661	0.236081	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.123374	0.132016	0.241334	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0857257	0.1627	0.238534	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0819194	0.152242	0.226857	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109149	0.143262	0.240667	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0967582	0.146315	0.226145	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0583154	0.168564	0.229529	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0877298	0.157968	0.230854	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0658792	0.186383	0.237159	isolation_0.4_0.1_0.2	0.2	0.1	ABC
