aw	as	a	analysis	b	w	method
0.128466	0.0847882	0.201814	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156554	0.0574093	0.212026	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.128688	0.084048	0.208806	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.105356	0.0960311	0.194666	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.126896	0.0774923	0.19729	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0460141	0.12642	0.167642	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156569	0.0621286	0.214944	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0963234	0.110076	0.207249	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0903783	0.129313	0.214471	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0823934	0.111232	0.188344	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.102477	0.0949359	0.209007	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.162306	0.0151632	0.192862	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0568573	0.140603	0.202273	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111955	0.0978623	0.198079	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.12863	0.0874109	0.207243	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.151933	0.0535861	0.199953	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172508	0.0507715	0.227211	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.122884	0.0926115	0.215271	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107643	0.107827	0.216239	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0820032	0.11452	0.179457	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.129269	0.0458776	0.176338	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.13176	0.070695	0.193343	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.202385	0.0193481	0.220843	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.164943	0.0553338	0.214958	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111128	0.0846935	0.194822	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0972492	0.0983898	0.196468	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.167358	0.0444095	0.212697	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.153394	0.0791898	0.229482	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.122603	0.0692973	0.194295	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.131924	0.0463713	0.182221	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.026726	0.120853	0.152118	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0950238	0.0807311	0.170106	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.142324	0.0375972	0.1779	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0632697	0.112245	0.172895	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.100713	0.0893993	0.173424	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.131168	0.0461288	0.180052	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.122397	0.049353	0.178747	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.114887	0.0723599	0.184872	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0860011	0.0978464	0.185792	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0206669	0.16528	0.186233	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.158306	0.0351305	0.192417	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0856832	0.0888039	0.18119	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.129943	0.0519072	0.190856	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0656935	0.115624	0.167921	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.110771	0.0687982	0.173941	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0660279	0.114677	0.179271	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.137212	0.0472785	0.182055	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.12714	0.0624553	0.176317	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.130359	0.0450911	0.173633	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.100533	0.095052	0.180213	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0919893	0.0833732	0.187553	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.112639	0.073068	0.184224	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0501579	0.113969	0.166942	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0839862	0.0992656	0.168623	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0988752	0.100833	0.186199	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.14671	0.0198551	0.160443	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.121717	0.0373473	0.160152	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.108985	0.056703	0.165208	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.115014	0.0502836	0.168591	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0590536	0.112413	0.171955	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.108571	0.0663765	0.17913	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.00687007	0.152441	0.157115	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.171032	0.0128738	0.185988	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.103356	0.058926	0.164936	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0819696	0.0781271	0.162667	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.126718	0.040841	0.166739	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.13608	0.0567935	0.190875	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.146389	0.0605725	0.191719	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.12982	0.058259	0.190077	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.176052	0.0454745	0.217717	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.138239	0.054441	0.180435	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.143589	0.0446188	0.180286	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0578652	0.108792	0.166058	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.115549	0.0762588	0.182608	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0527553	0.0969154	0.15566	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.135141	0.0467798	0.181826	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0950083	0.103337	0.189421	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0637133	0.09375	0.160736	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.1187	0.0433183	0.154313	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.100843	0.0594913	0.156745	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0615802	0.10155	0.163558	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.087081	0.093209	0.16798	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0633332	0.116768	0.179474	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0616929	0.103921	0.172437	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.134446	0.055524	0.196385	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0620602	0.10294	0.163789	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0332667	0.13302	0.173776	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.10842	0.0481504	0.163191	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.130074	0.0588884	0.184175	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0805616	0.106763	0.188265	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0817465	0.106006	0.183238	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.148913	0.0584323	0.199561	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0553929	0.100169	0.16037	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0775591	0.0965388	0.168898	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.096324	0.0914899	0.18543	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.107718	0.0717057	0.176541	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.100122	0.0696263	0.162617	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.146284	0.0458811	0.186121	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.116786	0.068756	0.196438	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0657351	0.0967369	0.162139	isolation_0.4_0.2_0.2	0.2	0.2	ABC
