aw	as	a	gamNeg	shape	analysis	b	w	method
0.0721265	0.179532	0.245479	736.077	0.157038	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0280927	0.20442	0.23349	426.177	0.149608	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0925893	0.145987	0.229172	743.088	0.152108	isolation_0.4_0.1_0.2	0.2	0.1	ABC
-0.0068305	0.219415	0.213008	725.638	0.144713	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0836083	0.154861	0.229005	771.323	0.150025	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0790975	0.168632	0.231123	789.813	0.151823	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0891184	0.169826	0.244348	774.085	0.157424	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.126699	0.138603	0.255273	782.392	0.158974	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0953797	0.166138	0.257508	659.735	0.161432	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0743233	0.158396	0.221341	370.428	0.144925	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0831992	0.170406	0.244684	430.391	0.156349	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0564614	0.199218	0.228288	794.954	0.153232	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.121852	0.139037	0.253848	806.118	0.159256	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.141083	0.114997	0.239285	401.62	0.155833	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.128161	0.136097	0.255811	671.34	0.159829	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.105371	0.142279	0.24005	684.788	0.155903	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.053343	0.183227	0.21861	738.711	0.151489	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0763514	0.1624	0.217612	394.065	0.148463	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0348671	0.208643	0.224865	385.124	0.152648	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.116145	0.143204	0.250595	744.629	0.157946	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0983268	0.158958	0.244466	352.22	0.158879	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.153968	0.118214	0.242544	452.452	0.153019	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.126492	0.139572	0.246098	764.93	0.157883	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0666229	0.163298	0.22437	378.978	0.147296	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107563	0.130715	0.229736	775.129	0.152664	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.018137	0.183956	0.187369	407.022	0.136997	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.121672	0.13041	0.245049	360.07	0.155243	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0538896	0.183053	0.234462	387.642	0.155681	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0682466	0.198452	0.245579	702.354	0.158817	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0527155	0.175905	0.220142	406.972	0.150161	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0769108	0.172162	0.236915	310.696	0.157808	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.149173	0.0938426	0.229151	389.495	0.151406	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0410372	0.193741	0.221023	333.292	0.148972	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0830167	0.154486	0.229627	388.684	0.15006	isolation_0.4_0.1_0.2	0.2	0.1	ABC
