aw	as	a	gamNeg	shape	analysis	b	w	method
0.0592266	0.129888	0.19	422.411	0.17366	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0877178	0.103052	0.191086	427.089	0.173367	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.103877	0.0992443	0.200329	418.877	0.175708	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0876417	0.0931316	0.177487	450.884	0.165914	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0602943	0.113678	0.167065	394.941	0.167782	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0791034	0.111375	0.189949	795.491	0.171464	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.126938	0.0727182	0.201435	460.967	0.1774	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0245383	0.140774	0.168468	457.653	0.166327	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.106743	0.107318	0.207125	646.277	0.181372	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0948932	0.0808814	0.184015	465.538	0.168607	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.157731	0.0660092	0.225262	527.111	0.183168	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0739262	0.0968695	0.180975	820.048	0.171754	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0993765	0.0940616	0.193032	446.564	0.171027	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.119891	0.0915508	0.206571	457.135	0.178445	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.133794	0.05266	0.182714	511.836	0.164442	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.101515	0.0818446	0.181722	813.678	0.168343	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.142242	0.0870373	0.227759	647.402	0.187892	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0712544	0.10167	0.164588	454.369	0.162655	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.051865	0.123471	0.176282	449.321	0.167382	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.179111	0.0276669	0.20014	855.274	0.172109	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.110642	0.0531159	0.171772	855.582	0.159708	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.133115	0.0712918	0.207866	869.856	0.175702	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.141526	0.0767824	0.210618	474.953	0.178103	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0389309	0.143352	0.179406	680.425	0.169302	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0631266	0.111925	0.170201	485.006	0.167799	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0689604	0.114603	0.18401	810.739	0.166657	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.154772	0.0568152	0.197829	907.686	0.172412	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0899078	0.107994	0.205509	472.576	0.177452	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0814499	0.0914223	0.176958	499.764	0.164595	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0540154	0.134529	0.184933	863.87	0.17097	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.126942	0.0696786	0.199031	499.778	0.170779	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0639635	0.119332	0.174083	541.171	0.167084	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.109594	0.0542277	0.160174	824.729	0.164681	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.129551	0.071021	0.199352	853.597	0.171303	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0948093	0.0986706	0.188506	796.46	0.173957	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.109591	0.0729098	0.179071	837.292	0.165637	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0270757	0.140115	0.1774	441.158	0.164189	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0409205	0.137474	0.178797	457.635	0.163779	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0745461	0.112803	0.184239	451.647	0.174334	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0743188	0.115501	0.185441	434.272	0.169668	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0549733	0.121743	0.178435	422.653	0.167615	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0939789	0.114804	0.202086	456.57	0.178022	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.109534	0.0746026	0.185084	452.639	0.167335	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.14343	0.10015	0.236037	825.78	0.188929	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0888537	0.0768756	0.170332	489.2	0.163484	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0677999	0.127379	0.191812	454.139	0.172725	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.127203	0.0863291	0.200658	463.871	0.173556	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0521582	0.125472	0.18007	470.302	0.166976	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.117928	0.0616997	0.180078	486.852	0.174022	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0942825	0.075746	0.181553	452.706	0.171634	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.120008	0.0677207	0.188311	426.621	0.172536	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0926022	0.0672033	0.167693	431.704	0.173806	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0692561	0.0861261	0.15775	391.907	0.166199	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0633107	0.0911751	0.156392	445.404	0.168527	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0951321	0.0628718	0.161424	495.983	0.164886	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.119535	0.0800456	0.181626	483.177	0.176919	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.150634	0.0502256	0.199508	840.582	0.180576	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.126566	0.0542919	0.175997	823.409	0.171665	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0980849	0.0832614	0.174293	433.536	0.174468	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.149864	0.0437183	0.191996	487.662	0.177718	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0992546	0.0640709	0.154248	817.291	0.169611	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.143387	0.0565434	0.189523	449.555	0.177343	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.169359	0.0226423	0.202836	482.464	0.182811	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0925284	0.0933122	0.186735	477.459	0.179833	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0579807	0.114469	0.170312	478.353	0.165872	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.124206	0.0710303	0.186197	848.858	0.178961	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.092051	0.0892752	0.181054	460.166	0.177149	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0839181	0.0900294	0.167543	429.071	0.17191	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.142554	0.0327015	0.170759	897.414	0.173303	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.125254	0.0629776	0.185992	844.914	0.17759	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.142009	0.0606876	0.202179	823.859	0.178209	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.162301	0.0387541	0.20371	936.34	0.18146	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0831506	0.0779693	0.163921	432.266	0.169876	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0986654	0.072882	0.17622	482.559	0.173466	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.140271	0.0176766	0.163455	911.841	0.168658	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.11095	0.0554333	0.168426	794.664	0.173253	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.153714	0.0324795	0.190825	839.379	0.175084	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.127658	0.0413698	0.160178	847.012	0.168972	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0979701	0.0689832	0.163499	492.978	0.168493	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.127259	0.0565693	0.172852	446.632	0.178003	noDemog_0.4_0.2_0.2	0.2	0.2	abc
