method	w	b	analysis	aw	as	a
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0181378	0.212209	0.227988
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0603933	0.190473	0.233663
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0554823	0.179615	0.227823
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.054953	0.188791	0.226475
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0386302	0.1973	0.227435
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0180047	0.245388	0.214542
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0240458	0.195177	0.21101
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0126673	0.24822	0.218598
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0681859	0.186143	0.237053
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0201935	0.211817	0.227197
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0764088	0.160568	0.234106
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0731966	0.173023	0.227221
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00917982	0.211749	0.21644
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0639615	0.173209	0.216526
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0113661	0.201261	0.182751
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0537456	0.186248	0.233864
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0281564	0.211008	0.227125
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00270931	0.248567	0.23355
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00138893	0.217312	0.212979
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00336898	0.232266	0.232929
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0907639	0.13579	0.215372
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00626649	0.223072	0.221607
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0235385	0.202165	0.217095
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.00592012	0.232972	0.224248
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0654454	0.172317	0.220222
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0966306	0.162297	0.250783
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0611546	0.202424	0.239158
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0198155	0.223705	0.228347
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.00385479	0.219518	0.201166
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0433054	0.169175	0.204081
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0281296	0.200326	0.213587
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.106657	0.150752	0.250166
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0642317	0.186314	0.238263
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0103149	0.234981	0.221519
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.021018	0.21497	0.218126
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.101073	0.153854	0.243417
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0479575	0.206933	0.244339
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0770077	0.152255	0.226211
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0949017	0.117109	0.204306
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.012088	0.176068	0.171767
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0562446	0.148894	0.193059
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.11546	0.108851	0.212068
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0437644	0.183587	0.197469
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0652921	0.148663	0.206526
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0863284	0.140101	0.210744
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0865702	0.130679	0.21178
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0822877	0.138872	0.209183
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0522306	0.152501	0.208564
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0176621	0.195829	0.202855
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0614785	0.154158	0.218349
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0668001	0.146766	0.20452
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.100485	0.129373	0.210594
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0458895	0.181799	0.193513
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0584922	0.1498	0.199589
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0302113	0.178884	0.198602
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.100699	0.116543	0.213537
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0922859	0.129043	0.217912
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.130093	0.103025	0.205715
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0961731	0.128959	0.206312
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0605383	0.159795	0.210659
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.053669	0.170736	0.208697
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.00505618	0.179437	0.185373
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0311594	0.183567	0.195035
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0915185	0.131224	0.214318
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.115417	0.0916909	0.19882
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0667251	0.133707	0.195595
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0677916	0.134134	0.194509
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0564195	0.139068	0.190765
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0385288	0.159927	0.188625
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0820188	0.140433	0.210524
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0368304	0.171479	0.190173
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.148939	0.0976456	0.225147
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0833038	0.120861	0.196653
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0966503	0.111005	0.193196
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0671136	0.13048	0.20294
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0848971	0.137171	0.210742
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.074573	0.142453	0.206383
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.106644	0.138048	0.219257
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.10714	0.142957	0.245342
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.090261	0.134382	0.198917
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.103242	0.13134	0.217
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0479509	0.154711	0.194329
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0791859	0.142056	0.21042
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0499192	0.124845	0.185243
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0660001	0.149956	0.203964
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0719514	0.154312	0.215695
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0668265	0.149037	0.192804
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0634584	0.134701	0.182937
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0908646	0.12164	0.203942
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.019548	0.179516	0.198141
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0478726	0.165088	0.205049
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0269193	0.185757	0.203596
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0252951	0.191909	0.194291
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.103469	0.147849	0.225453
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0276385	0.17552	0.191621
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0291727	0.175303	0.191253
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.105239	0.101538	0.197057
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0777904	0.136998	0.218725
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0448004	0.171682	0.203923
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0392824	0.183125	0.207485
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0806399	0.155299	0.210234
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0393328	0.158607	0.185131
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0312104	0.158561	0.193094
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0886967	0.140315	0.213162
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.065468	0.147062	0.196688
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.102889	0.116933	0.202866
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.125747	0.115257	0.215311
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0883621	0.148108	0.216545
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0579702	0.141681	0.189148
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0685181	0.159929	0.210807
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0648788	0.153013	0.198937
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0843039	0.11991	0.194882
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0751677	0.134351	0.208114
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0348336	0.160469	0.188724
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.116024	0.117416	0.219967
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0360046	0.162704	0.19286
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.12102	0.116687	0.224266
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0574644	0.143447	0.195908
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0274087	0.203935	0.222597
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0816714	0.150007	0.216212
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0784812	0.149748	0.218059
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0560202	0.156252	0.199434
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.139955	0.104615	0.217823
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0939119	0.121484	0.198891
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.163918	0.0967837	0.22268
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0103685	0.191692	0.202333
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.143841	0.0940785	0.233123
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.064196	0.1401	0.200696
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.00899521	0.182522	0.193606
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.104862	0.143318	0.227269
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0827294	0.130599	0.193113
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0755562	0.123778	0.199849
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0639624	0.145782	0.201933
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0813735	0.143024	0.205772
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.083763	0.137321	0.208032
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.047068	0.157758	0.194889
ABC	0.2	0.2	isolation_0.4_0.2_0.2	0.0584752	0.1452	0.192548
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0836896	0.0826823	0.159823
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0996628	0.0924493	0.184335
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.116067	0.0888557	0.184228
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.047469	0.112497	0.157241
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0887709	0.0919641	0.167314
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0879707	0.0782884	0.158309
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0805146	0.0947635	0.165921
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0806681	0.0960755	0.168049
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0949061	0.0940775	0.181639
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0689933	0.0964109	0.16583
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0806311	0.0774605	0.15266
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0734587	0.102153	0.148399
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.075328	0.101586	0.168291
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0786437	0.0931073	0.165447
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.106398	0.099804	0.186052
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.109324	0.088822	0.185551
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0616003	0.0924475	0.15125
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0982546	0.0784016	0.170326
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0807854	0.0905592	0.16709
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0635118	0.116313	0.173876
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0554991	0.108977	0.166107
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0732489	0.103848	0.168672
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0938678	0.105689	0.186858
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0615471	0.0944045	0.153689
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0826337	0.104448	0.173245
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.059518	0.100386	0.152653
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0787318	0.0957265	0.160388
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0759398	0.0972929	0.164755
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0830667	0.115171	0.191426
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0410845	0.116452	0.154609
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0504311	0.103422	0.13897
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0811564	0.0798943	0.16293
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0660359	0.0935084	0.156912
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0743474	0.0995691	0.171568
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.102232	0.0728251	0.161125
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0991928	0.11453	0.187787
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0894638	0.102032	0.180151
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.112323	0.0501222	0.162994
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0345822	0.141676	0.170991
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0838786	0.0659402	0.144782
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0976076	0.105948	0.172014
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0640196	0.109166	0.165866
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0664948	0.0937835	0.165222
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.122747	0.0730209	0.182111
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0839003	0.0875016	0.168403
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0824241	0.0868215	0.162338
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0668464	0.121769	0.182693
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0961031	0.0723726	0.161362
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0617887	0.0936349	0.156564
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0873967	0.0878379	0.165162
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0759213	0.0973201	0.176651
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0475842	0.121662	0.160818
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0755261	0.103004	0.159652
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0493816	0.105678	0.160207
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0750724	0.11214	0.178702
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.123076	0.0709889	0.186249
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0472785	0.11258	0.156824
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0905646	0.0744043	0.169
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0895035	0.0775029	0.16697
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.101427	0.090419	0.183696
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.102598	0.0937816	0.181437
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.122121	0.0807235	0.205303
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.147995	0.0562753	0.190013
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0931414	0.0658768	0.161358
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0772682	0.0976705	0.165529
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0812923	0.0950798	0.167287
