aw	as	a	gamNeg	shape	analysis	b	w	method
0.0670622	0.135639	0.190043	865.835	0.1368	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.118533	0.0901956	0.206687	855.125	0.141363	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.175539	0.0607902	0.230936	442.736	0.147958	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0813651	0.123071	0.212535	738.422	0.145119	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172091	0.0455303	0.216335	478.206	0.144653	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.090848	0.114249	0.205821	347.036	0.14209	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.132721	0.0731546	0.202756	845.416	0.138357	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0718056	0.113321	0.184349	637.124	0.136746	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0514249	0.149183	0.201128	774.449	0.139919	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107936	0.0840272	0.200509	599.228	0.139138	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.136863	0.0676788	0.194633	428.245	0.136653	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0450218	0.141313	0.180753	374.518	0.13599	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.104739	0.11894	0.218204	428.682	0.14336	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0788341	0.116821	0.192906	745.358	0.137552	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0682819	0.125866	0.195765	422.453	0.139904	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.114252	0.0872211	0.190792	814.389	0.135949	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.116555	0.0952683	0.204292	713.154	0.142975	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0913709	0.100897	0.20053	449.694	0.14027	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.101575	0.104033	0.196998	436.686	0.137883	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.134402	0.075646	0.194068	828.959	0.138862	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.137576	0.0675158	0.210009	355.605	0.141955	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.15302	0.0769392	0.22274	376.898	0.145743	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.158814	0.0622852	0.213489	804.69	0.14344	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.164161	0.0684626	0.21935	787.825	0.147061	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0798827	0.126351	0.208318	380.332	0.148773	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.10465	0.10873	0.203069	353.318	0.145296	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.155971	0.0611676	0.211151	359.896	0.143817	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.129831	0.0688393	0.199918	783.91	0.139545	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.132919	0.0807001	0.204062	801.008	0.146198	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0900019	0.114804	0.204423	383.312	0.141076	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0944503	0.102842	0.208128	426.613	0.142184	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.136112	0.0770802	0.215124	391.109	0.14668	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.118856	0.0621023	0.187458	470.791	0.137418	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111647	0.0931869	0.199716	729.152	0.138601	isolation_0.4_0.1_0.2	0.2	0.1	ABC
