aw	as	a	gamNeg	shape	analysis	b	w	method
0.106899	0.0176495	0.126099	576.338	0.146677	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0997858	0.0397406	0.141502	814.431	0.148965	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0645449	0.0647357	0.126723	335.694	0.146651	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.072771	0.0456663	0.129801	547.007	0.146448	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.110609	0.0281334	0.132013	455.487	0.14975	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.101051	0.0542478	0.153555	600.79	0.160724	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0891774	0.0297801	0.128464	726.572	0.148619	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0944309	0.046297	0.14329	382.482	0.154823	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.117117	0.0224406	0.133584	748.333	0.151239	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0723054	0.0324502	0.099744	578.25	0.14031	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.077724	0.0756769	0.149217	435.488	0.153886	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.111668	0.0123633	0.12364	421.575	0.149138	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.109958	0.0295536	0.133675	633.445	0.149076	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0833863	0.0374091	0.120187	347.373	0.142688	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0988878	0.0366105	0.134472	757.649	0.150028	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.10604	0.0622026	0.160906	410.251	0.156204	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0791217	0.0514376	0.130394	718.254	0.146851	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0644032	0.0779277	0.141351	330.18	0.154914	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.137769	0.028337	0.155827	489.446	0.155117	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.120548	0.0178183	0.135587	791.584	0.150117	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0700869	0.0804208	0.146777	493.051	0.153543	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0860153	0.0533948	0.145547	450.348	0.154292	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0945933	0.0426658	0.13667	382.621	0.149218	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.123789	0.022587	0.141402	480.989	0.148182	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0342066	0.10001	0.135779	847.754	0.148219	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0637013	0.0797141	0.137874	381.056	0.151148	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0424149	0.0813798	0.122874	547.613	0.143628	noDemog_0.4_0.1_0.2	0.2	0.1	abc
