method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0632416	0.132265	0.190467	424.554	0.17299
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.128077	0.104948	0.231087	445.583	0.18851
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.104547	0.100505	0.205264	450.055	0.175548
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.126492	0.119899	0.229304	444.917	0.182415
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0781318	0.121487	0.193405	819.668	0.17533
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.134063	0.116386	0.21896	435.17	0.179391
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.104849	0.122885	0.215009	462.67	0.181669
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.119504	0.0815267	0.192287	769.56	0.166944
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.11379	0.110513	0.191201	435.049	0.172708
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.127565	0.113577	0.23118	811.071	0.188284
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0918402	0.109435	0.185596	831.733	0.170648
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0469146	0.143884	0.188413	766.484	0.172335
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.14932	0.0878889	0.219699	846.74	0.178457
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.109733	0.0900959	0.19893	655.373	0.168972
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.140121	0.102609	0.234195	818.133	0.182569
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.118575	0.113695	0.223137	472.369	0.180636
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0682402	0.14193	0.196542	481.045	0.178624
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0675784	0.117813	0.184448	449.946	0.174055
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.090734	0.123847	0.205586	804.655	0.174078
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.152155	0.0916853	0.225872	775.432	0.18197
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0891348	0.128143	0.212159	439.045	0.179189
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.106411	0.104652	0.205969	415.875	0.174903
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0431151	0.159469	0.196276	751.51	0.175458
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.109886	0.106937	0.207608	829.636	0.173749
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0856126	0.130758	0.194324	433.046	0.173954
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.10292	0.0883701	0.186504	788.476	0.171611
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.12983	0.0980744	0.221716	445.673	0.177676
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0764275	0.124762	0.193564	839.839	0.175924
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.114725	0.0903643	0.193106	816.619	0.17074
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0675912	0.145762	0.199923	387.883	0.172808
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0472709	0.156591	0.193552	425.242	0.169297
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0696419	0.130566	0.19053	790.15	0.176834
