f	alphas	B	alphaW	sfs	analysis	time
0.010101010101010102	-0.21560415462199845	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.020202020202020204	-0.04991155737173458	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.030303030303030304	0.012065088805369273	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.04040404040404041	0.052440684303698526	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.050505050505050504	0.07534148065237312	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.06060606060606061	0.0904391079703154	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.0707070707070707	0.10052008859904515	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.08080808080808081	0.10760526905006751	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.09090909090909091	0.11440045632099693	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.10101010101010101	0.12032280471534595	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.1111111111111111	0.12504037048961258	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.12121212121212122	0.1292184392107497	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.13131313131313133	0.13313049019666712	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.1414141414141414	0.13630311882311563	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.15151515151515152	0.14027822851070948	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.16161616161616163	0.1448967005576064	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.1717171717171717	0.14833334154132194	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.18181818181818182	0.14983393221612396	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.1919191919191919	0.15373221853597674	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.20202020202020202	0.15620053430474878	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.21212121212121213	0.158505912626696	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.2222222222222222	0.16024599768668468	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.23232323232323232	0.16243362160568842	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.24242424242424243	0.16423246050702223	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.25252525252525254	0.1668078135641392	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.26262626262626265	0.16883333526259925	0.999	0.1	All alleles	Expansion strength = 5.0	1
