f	alphas	B	alphaW	sfs	path	analysis
0.001001001001001001	-0.6488048644570585	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.002002002002002002	-0.4039222969436833	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.003003003003003003	-0.3265492194063455	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.004004004004004004	-0.27565988185900636	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.005005005005005005	-0.2376224279600634	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.006006006006006006	-0.21210045339378936	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.007007007007007007	-0.1901124502990008	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.008008008008008008	-0.1756680376925368	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.009009009009009009	-0.16031350695507252	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01001001001001001	-0.1489540123980697	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.011011011011011011	-0.13862526273254128	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.012012012012012012	-0.1287808102176735	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.013013013013013013	-0.12101481584597829	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.014014014014014014	-0.11136103260173602	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.015015015015015015	-0.1019710619967249	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.016016016016016016	-0.09207100391817646	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01701701701701702	-0.08682726815443331	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.018018018018018018	-0.0815819903618975	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01901901901901902	-0.07918791135006087	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.02002002002002002	-0.07480307171506206	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.021021021021021023	-0.06793103885606344	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.022022022022022022	-0.06463249516703451	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.023023023023023025	-0.059498879943479466	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.024024024024024024	-0.053103802633534425	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.025025025025025027	-0.048596564599290515	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
