trueAlpha	asymp_nopos	asymp	analyticalEstimation	path	analysis
0.19391646888486333	0.193490399168464	0.16253474161162276	0.25698000000000004	noDemog_0.4_0.1_0.2	noDemog
0.1777946357386484	0.16976548737021124	0.1073359841099484	0.23096999999999998	noDemog_0.4_0.2_0.2	noDemog
0.16087940103057108	0.12608833603621755	0.04679048384496479	0.20296	noDemog_0.4_0.3_0.2	noDemog
0.2729888570163768	0.22522402035615097	0.19065649463565354	0.31325	noDemog_0.4_0.1_0.4	noDemog
0.25556400878728713	0.21077148766891243	0.13388871732991356	0.29557	noDemog_0.4_0.2_0.4	noDemog
0.23732328871685635	0.21364951341866	0.09514888201790249	0.27687	noDemog_0.4_0.3_0.4	noDemog
0.3687394150030784	0.35296181523352027	0.3131748458602067	0.37864000000000003	noDemog_0.4_0.1_0.8	noDemog
0.3522076767820039	0.323912372093118	0.23104135236397513	0.37446	noDemog_0.4_0.2_0.8	noDemog
0.33457205851334637	0.31159737601248605	0.18351862164940264	0.3702	noDemog_0.4_0.3_0.8	noDemog
0.4009838312626902	0.3753921241823599	0.33185385480290985	0.40147	noDemog_0.4_0.1_0.999	noDemog
0.38548774553090703	0.35751472581092847	0.26461981987846495	0.4026	noDemog_0.4_0.2_0.999	noDemog
0.3699929407827938	0.3317203757409977	0.202173395649063	0.40373000000000003	noDemog_0.4_0.3_0.999	noDemog
