f	alphas	B	alphaW	sfs	path	analysis
0.001001001001001001	-0.6561897197412339	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.002002002002002002	-0.40898890227843343	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.003003003003003003	-0.3372396738292036	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.004004004004004004	-0.2889059549142521	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.005005005005005005	-0.25139696783030163	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.006006006006006006	-0.22627906649678908	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.007007007007007007	-0.2059035386193362	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.008008008008008008	-0.19524024687410324	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.009009009009009009	-0.17718892555503563	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01001001001001001	-0.1662656353409	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.011011011011011011	-0.15270498141225164	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.012012012012012012	-0.14407073464717635	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.013013013013013013	-0.13789148067784018	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.014014014014014014	-0.12982421755065343	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.015015015015015015	-0.12109351497725918	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.016016016016016016	-0.11381095213370251	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01701701701701702	-0.10787094951018439	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.018018018018018018	-0.10267304115743481	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.01901901901901902	-0.09900010717296848	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.02002002002002002	-0.09497963199865689	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.021021021021021023	-0.08957236168861749	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.022022022022022022	-0.0867793123909939	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.023023023023023025	-0.08301014377363258	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.024024024024024024	-0.07728691336323479	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.025025025025025027	-0.07218417910000663	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.026026026026026026	-0.06931420128513244	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.02702702702702703	-0.06842958383852471	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.028028028028028028	-0.06293087463928515	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.02902902902902903	-0.06147840701203133	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03003003003003003	-0.05865211021384886	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.031031031031031032	-0.056623726305036426	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03203203203203203	-0.05476301116574733	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03303303303303303	-0.05336823913301991	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03403403403403404	-0.05236175025837486	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.035035035035035036	-0.05107141470972887	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.036036036036036036	-0.05014049009882049	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.037037037037037035	-0.049658431040691564	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03803803803803804	-0.048094761283955734	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.03903903903903904	-0.04301844914394137	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04004004004004004	-0.041407567384914135	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04104104104104104	-0.03801794890959087	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.042042042042042045	-0.03592441019406567	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.043043043043043044	-0.03252478574308726	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.044044044044044044	-0.031118672003923153	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04504504504504504	-0.029578082859728738	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04604604604604605	-0.029301506795226917	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04704704704704705	-0.027542902624677623	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04804804804804805	-0.02553693211986552	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.04904904904904905	-0.025458510529733136	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05005005005005005	-0.024927659996063944	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05105105105105105	-0.024610756819529955	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05205205205205205	-0.02270864694080621	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05305305305305305	-0.020614126611178785	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05405405405405406	-0.018439481107390687	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.055055055055055056	-0.017613874685641573	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.056056056056056056	-0.01629516605029746	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.057057057057057055	-0.014258978253571808	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05805805805805806	-0.013006689293420637	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.05905905905905906	-0.01083516463431633	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06006006006006006	-0.010497197514807599	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06106106106106106	-0.008022017608240395	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.062062062062062065	-0.006994086998507676	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06306306306306306	-0.003562459208259705	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06406406406406406	-0.003443518945766	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06506506506506507	-0.004899530023907861	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06606606606606606	-0.0023158201810806744	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06706706706706707	-0.0014165906556382613	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06806806806806807	-0.0006727058956930154	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.06906906906906907	0.001638407802105113	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.07007007007007007	0.0036722360928348463	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.07107107107107107	0.003958583137055993	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
