analysis	w	b	aw	as	a
twoepochs_eq	0.1	0.999	0.005	0.015	0.01
twoepochs_s1	0.1	0.999	0.069	0.002	0.059
twoepochs_s2	0.1	0.999	0.069	0.01	0.067
twoepochs_s3	0.1	0.999	0.002	0.018	0.011
twoepochs_s4	0.1	0.999	0.035	0	0.025
