method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_eq	0.0721477	0.149826	0.219695
ABC	0.1	0.999	twoepochs_eq	0.0980442	0.147418	0.229312
ABC	0.1	0.999	twoepochs_eq	0.130929	0.13947	0.255041
ABC	0.1	0.999	twoepochs_eq	0.128449	0.120761	0.228661
ABC	0.1	0.999	twoepochs_eq	0.0275484	0.177321	0.198932
ABC	0.1	0.999	twoepochs_eq	0.118769	0.138876	0.239824
ABC	0.1	0.999	twoepochs_eq	0.0938115	0.133933	0.221034
ABC	0.1	0.999	twoepochs_eq	0.0854806	0.141188	0.20952
ABC	0.1	0.999	twoepochs_eq	0.0794123	0.148363	0.235589
ABC	0.1	0.999	twoepochs_eq	0.0562173	0.162372	0.212345
ABC	0.1	0.999	twoepochs_eq	0.0930899	0.141318	0.225204
ABC	0.1	0.999	twoepochs_eq	0.085817	0.137685	0.212972
ABC	0.1	0.999	twoepochs_eq	0.0630697	0.150615	0.213036
ABC	0.1	0.999	twoepochs_eq	0.126435	0.110397	0.226449
ABC	0.1	0.999	twoepochs_eq	0.104535	0.13004	0.230512
ABC	0.1	0.999	twoepochs_eq	0.113888	0.133439	0.228455
ABC	0.1	0.999	twoepochs_eq	0.0552859	0.155132	0.191692
ABC	0.1	0.999	twoepochs_eq	0.105045	0.150871	0.241513
ABC	0.1	0.999	twoepochs_eq	0.0948857	0.142241	0.22854
ABC	0.1	0.999	twoepochs_eq	0.135182	0.134233	0.269421
ABC	0.1	0.999	twoepochs_eq	0.105467	0.149767	0.245458
ABC	0.1	0.999	twoepochs_eq	0.123593	0.127753	0.244592
ABC	0.1	0.999	twoepochs_eq	0.0881869	0.147697	0.228415
ABC	0.1	0.999	twoepochs_eq	0.102225	0.132397	0.228304
ABC	0.1	0.999	twoepochs_eq	0.047733	0.163457	0.206121
ABC	0.1	0.999	twoepochs_eq	0.0990349	0.130852	0.225516
ABC	0.1	0.999	twoepochs_eq	0.12783	0.126696	0.244003
ABC	0.1	0.999	twoepochs_eq	0.0733672	0.13944	0.211261
