method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.999	twoepochs_eq	0.0721477	0.149826	0.219695	424.189	0.177688
ABC	0.1	0.999	twoepochs_eq	0.0980442	0.147418	0.229312	420.277	0.18401
ABC	0.1	0.999	twoepochs_eq	0.130929	0.13947	0.255041	794.826	0.196419
ABC	0.1	0.999	twoepochs_eq	0.128449	0.120761	0.228661	668.247	0.178224
ABC	0.1	0.999	twoepochs_eq	0.0275484	0.177321	0.198932	752.484	0.166049
ABC	0.1	0.999	twoepochs_eq	0.118769	0.138876	0.239824	784.476	0.186503
ABC	0.1	0.999	twoepochs_eq	0.0938115	0.133933	0.221034	805.971	0.178104
ABC	0.1	0.999	twoepochs_eq	0.0854806	0.141188	0.20952	777.818	0.171503
ABC	0.1	0.999	twoepochs_eq	0.0794123	0.148363	0.235589	799.003	0.190002
ABC	0.1	0.999	twoepochs_eq	0.0562173	0.162372	0.212345	429.662	0.178943
ABC	0.1	0.999	twoepochs_eq	0.0930899	0.141318	0.225204	434.833	0.174848
ABC	0.1	0.999	twoepochs_eq	0.085817	0.137685	0.212972	762.462	0.175339
ABC	0.1	0.999	twoepochs_eq	0.0630697	0.150615	0.213036	826.164	0.175786
ABC	0.1	0.999	twoepochs_eq	0.126435	0.110397	0.226449	398.704	0.172384
ABC	0.1	0.999	twoepochs_eq	0.104535	0.13004	0.230512	797.357	0.184287
ABC	0.1	0.999	twoepochs_eq	0.113888	0.133439	0.228455	755.268	0.185557
ABC	0.1	0.999	twoepochs_eq	0.0552859	0.155132	0.191692	766.158	0.155221
ABC	0.1	0.999	twoepochs_eq	0.105045	0.150871	0.241513	439.068	0.179985
ABC	0.1	0.999	twoepochs_eq	0.0948857	0.142241	0.22854	743.697	0.179062
ABC	0.1	0.999	twoepochs_eq	0.135182	0.134233	0.269421	757.175	0.204175
ABC	0.1	0.999	twoepochs_eq	0.105467	0.149767	0.245458	411.484	0.185165
ABC	0.1	0.999	twoepochs_eq	0.123593	0.127753	0.244592	672.705	0.189518
ABC	0.1	0.999	twoepochs_eq	0.0881869	0.147697	0.228415	446.737	0.182662
ABC	0.1	0.999	twoepochs_eq	0.102225	0.132397	0.228304	436.849	0.177976
ABC	0.1	0.999	twoepochs_eq	0.047733	0.163457	0.206121	768.568	0.175759
ABC	0.1	0.999	twoepochs_eq	0.0990349	0.130852	0.225516	779.8	0.171262
ABC	0.1	0.999	twoepochs_eq	0.12783	0.126696	0.244003	402.01	0.185197
ABC	0.1	0.999	twoepochs_eq	0.0733672	0.13944	0.211261	765.438	0.15585
ABC	0.1	0.999	twoepochs_eq	0.154832	0.118955	0.259352	843.73	0.196425
ABC	0.1	0.999	twoepochs_eq	0.126537	0.13432	0.245049	767.503	0.181101
ABC	0.1	0.999	twoepochs_eq	0.0619911	0.160589	0.216807	754.825	0.178409
ABC	0.1	0.999	twoepochs_eq	0.133275	0.124854	0.252761	750.687	0.196152
ABC	0.1	0.999	twoepochs_eq	0.0958263	0.140256	0.233732	446.329	0.180526
ABC	0.1	0.999	twoepochs_eq	0.109092	0.137566	0.23133	431.616	0.177752
ABC	0.1	0.999	twoepochs_eq	0.137583	0.116293	0.244589	419.384	0.184237
ABC	0.1	0.999	twoepochs_eq	0.0863145	0.136624	0.221783	758.134	0.178708
ABC	0.1	0.999	twoepochs_eq	0.0707235	0.156661	0.213427	788.53	0.173779
ABC	0.1	0.999	twoepochs_eq	0.0915257	0.149328	0.231855	421.024	0.184158
ABC	0.1	0.999	twoepochs_eq	0.08161	0.140505	0.221234	459.238	0.180964
ABC	0.1	0.999	twoepochs_eq	0.0971408	0.129578	0.210359	421.802	0.161494
ABC	0.1	0.999	twoepochs_eq	0.0887782	0.156713	0.237361	784.796	0.178345
ABC	0.1	0.999	twoepochs_eq	0.0590476	0.152957	0.200849	791.181	0.167108
ABC	0.1	0.999	twoepochs_eq	0.116656	0.121798	0.236198	432.231	0.182398
ABC	0.1	0.999	twoepochs_eq	0.112518	0.118641	0.227032	493.605	0.176897
ABC	0.1	0.999	twoepochs_eq	0.0507808	0.172839	0.215527	776.92	0.176964
ABC	0.1	0.999	twoepochs_eq	0.108677	0.142908	0.235203	448.152	0.187679
ABC	0.1	0.999	twoepochs_eq	0.087578	0.165027	0.244058	438.727	0.182245
ABC	0.1	0.999	twoepochs_eq	0.128725	0.124228	0.240288	762.127	0.184392
ABC	0.1	0.999	twoepochs_eq	0.0853894	0.141972	0.212799	703.299	0.17169
ABC	0.1	0.999	twoepochs_eq	0.0731604	0.154707	0.221104	793.968	0.17705
ABC	0.1	0.999	twoepochs_eq	0.134562	0.126422	0.243996	787.854	0.184127
ABC	0.1	0.999	twoepochs_eq	0.0405458	0.157997	0.185425	761.334	0.155161
ABC	0.1	0.999	twoepochs_eq	0.12376	0.143917	0.257225	752.643	0.197511
ABC	0.1	0.999	twoepochs_eq	0.115018	0.143112	0.235365	434.158	0.17814
ABC	0.1	0.999	twoepochs_eq	0.074868	0.166875	0.224228	422.71	0.179548
ABC	0.1	0.999	twoepochs_eq	0.0438343	0.157848	0.204003	432.504	0.166249
ABC	0.1	0.999	twoepochs_eq	0.099946	0.155433	0.238858	802.268	0.178655
ABC	0.1	0.999	twoepochs_eq	0.0885847	0.133211	0.216981	790.545	0.177019
ABC	0.1	0.999	twoepochs_eq	0.122245	0.146366	0.251773	416.273	0.194791
ABC	0.1	0.999	twoepochs_eq	0.112638	0.149453	0.235051	762.73	0.17741
ABC	0.1	0.999	twoepochs_eq	0.0843896	0.145816	0.216753	745.03	0.174869
ABC	0.1	0.999	twoepochs_eq	0.0673676	0.166474	0.225991	394.955	0.180648
ABC	0.1	0.999	twoepochs_eq	0.082166	0.144089	0.214124	754.813	0.172221
ABC	0.1	0.999	twoepochs_eq	0.112255	0.131236	0.23612	434.631	0.184868
ABC	0.1	0.999	twoepochs_eq	0.0678713	0.156598	0.225311	424.073	0.177785
ABC	0.1	0.999	twoepochs_eq	0.101127	0.14862	0.238251	454.966	0.18131
ABC	0.1	0.999	twoepochs_eq	0.117062	0.130593	0.237449	442.971	0.181702
ABC	0.1	0.999	twoepochs_eq	0.134765	0.117463	0.241731	450.849	0.183156
ABC	0.1	0.999	twoepochs_eq	0.0587367	0.156714	0.211765	411.648	0.169126
ABC	0.1	0.999	twoepochs_eq	0.136809	0.123449	0.252787	791.013	0.189604
ABC	0.1	0.999	twoepochs_eq	0.101677	0.11766	0.212017	550.803	0.177406
ABC	0.1	0.999	twoepochs_eq	0.105961	0.137137	0.232819	780.437	0.184899
ABC	0.1	0.999	twoepochs_eq	0.0661419	0.173217	0.230533	765.535	0.185241
ABC	0.1	0.999	twoepochs_eq	0.121298	0.135963	0.231022	753.312	0.17848
ABC	0.1	0.999	twoepochs_eq	0.119945	0.14727	0.251821	423.873	0.187505
ABC	0.1	0.999	twoepochs_eq	0.118157	0.127153	0.238818	786.52	0.178087
ABC	0.1	0.999	twoepochs_eq	0.118751	0.135906	0.232906	756.23	0.182391
ABC	0.1	0.999	twoepochs_eq	0.0958893	0.142258	0.232719	447.44	0.180666
ABC	0.1	0.999	twoepochs_eq	0.0772351	0.155954	0.227369	692.132	0.175655
