analysis	w	b	aw	as	a
twoepochs_eq	0.1	0.999	0.008	0.013	0.011
twoepochs_s1	0.1	0.999	0.071	0.154	0.079
twoepochs_s2	0.1	0.999	0.013	0.079	0.085
twoepochs_s3	0.1	0.999	0.006	0.041	0.039
twoepochs_s4	0.1	0.999	0.041	0.049	0.091
