method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_eq	0.0760123	0.144155	0.214982
ABC	0.1	0.999	twoepochs_eq	0.0979136	0.149728	0.232592
ABC	0.1	0.999	twoepochs_eq	0.118916	0.144019	0.257805
ABC	0.1	0.999	twoepochs_eq	0.158373	0.11262	0.239449
ABC	0.1	0.999	twoepochs_eq	0.0569627	0.162398	0.199062
ABC	0.1	0.999	twoepochs_eq	0.112385	0.136926	0.228982
ABC	0.1	0.999	twoepochs_eq	0.0908312	0.16901	0.242419
ABC	0.1	0.999	twoepochs_eq	0.0900266	0.13417	0.215008
ABC	0.1	0.999	twoepochs_eq	0.0601554	0.161284	0.209922
ABC	0.1	0.999	twoepochs_eq	0.108624	0.138456	0.224395
ABC	0.1	0.999	twoepochs_eq	0.0595831	0.144923	0.204916
ABC	0.1	0.999	twoepochs_eq	0.146973	0.115008	0.249868
ABC	0.1	0.999	twoepochs_eq	0.0764636	0.155109	0.228913
ABC	0.1	0.999	twoepochs_eq	0.130585	0.124448	0.248325
ABC	0.1	0.999	twoepochs_eq	0.122058	0.129309	0.233343
ABC	0.1	0.999	twoepochs_eq	0.108882	0.133656	0.229919
ABC	0.1	0.999	twoepochs_eq	0.123543	0.109036	0.230798
ABC	0.1	0.999	twoepochs_eq	0.128696	0.134296	0.253342
ABC	0.1	0.999	twoepochs_eq	0.0267434	0.185007	0.206969
ABC	0.1	0.999	twoepochs_eq	0.0762383	0.161495	0.226495
ABC	0.1	0.999	twoepochs_eq	0.096419	0.125506	0.214416
ABC	0.1	0.999	twoepochs_eq	0.0882743	0.145136	0.218912
ABC	0.1	0.999	twoepochs_eq	0.10293	0.124979	0.221566
ABC	0.1	0.999	twoepochs_eq	0.0864768	0.157395	0.238148
ABC	0.1	0.999	twoepochs_eq	0.0752701	0.152042	0.212453
ABC	0.1	0.999	twoepochs_eq	0.111569	0.13631	0.228489
ABC	0.1	0.999	twoepochs_eq	0.0776781	0.149572	0.224701
ABC	0.1	0.999	twoepochs_eq	0.131592	0.134291	0.251908
ABC	0.1	0.999	twoepochs_eq	0.0866115	0.139856	0.2219
ABC	0.1	0.999	twoepochs_eq	0.0789292	0.158431	0.227627
ABC	0.1	0.999	twoepochs_eq	0.110268	0.144872	0.241148
ABC	0.1	0.999	twoepochs_eq	0.101735	0.126235	0.219054
ABC	0.1	0.999	twoepochs_eq	0.0806795	0.142342	0.217936
ABC	0.1	0.999	twoepochs_eq	0.141298	0.126394	0.248917
ABC	0.1	0.999	twoepochs_eq	0.0728775	0.138623	0.210938
ABC	0.1	0.999	twoepochs_eq	0.0976082	0.126167	0.218723
ABC	0.1	0.999	twoepochs_eq	0.111159	0.124787	0.23371
ABC	0.1	0.999	twoepochs_eq	0.0705987	0.139736	0.203665
ABC	0.1	0.999	twoepochs_eq	0.115533	0.148925	0.257564
ABC	0.1	0.999	twoepochs_eq	0.0563954	0.153016	0.202691
ABC	0.1	0.999	twoepochs_eq	0.12338	0.142407	0.250225
ABC	0.1	0.999	twoepochs_eq	0.0592057	0.17663	0.22797
ABC	0.1	0.999	twoepochs_eq	0.0791758	0.158217	0.221876
ABC	0.1	0.999	twoepochs_eq	0.131515	0.119736	0.241231
ABC	0.1	0.999	twoepochs_eq	0.0817938	0.15542	0.219359
ABC	0.1	0.999	twoepochs_eq	0.0878789	0.13721	0.222805
ABC	0.1	0.999	twoepochs_eq	0.0986282	0.15845	0.248486
ABC	0.1	0.999	twoepochs_eq	0.105646	0.143101	0.236049
ABC	0.1	0.999	twoepochs_eq	0.138911	0.123947	0.251419
ABC	0.1	0.999	twoepochs_eq	0.0775552	0.154373	0.213974
ABC	0.1	0.999	twoepochs_eq	0.10906	0.131465	0.228299
ABC	0.1	0.999	twoepochs_eq	0.107778	0.144948	0.248663
ABC	0.1	0.999	twoepochs_eq	0.0994511	0.150296	0.24534
ABC	0.1	0.999	twoepochs_eq	0.0889605	0.152983	0.241162
ABC	0.1	0.999	twoepochs_eq	0.108223	0.133236	0.234794
ABC	0.1	0.999	twoepochs_eq	0.0952821	0.144248	0.226268
ABC	0.1	0.999	twoepochs_eq	0.100261	0.131867	0.228456
ABC	0.1	0.999	twoepochs_eq	0.0985247	0.136694	0.22663
ABC	0.1	0.999	twoepochs_eq	0.0766534	0.182617	0.251638
ABC	0.1	0.999	twoepochs_eq	0.131428	0.125593	0.244248
ABC	0.1	0.999	twoepochs_eq	0.0846013	0.159011	0.224826
ABC	0.1	0.999	twoepochs_eq	0.0576702	0.17303	0.229685
ABC	0.1	0.999	twoepochs_eq	0.0920181	0.128835	0.21228
ABC	0.1	0.999	twoepochs_eq	0.094645	0.133226	0.219417
ABC	0.1	0.999	twoepochs_eq	0.127935	0.130121	0.256273
ABC	0.1	0.999	twoepochs_eq	0.13027	0.120278	0.239068
ABC	0.1	0.999	twoepochs_eq	0.0855349	0.13652	0.223245
