analysis	w	b	aw	as	a
twoepochs_eq	0.1	0.999	0.009	0.012	0.011
twoepochs_s1	0.1	0.999	0.041	0.039	0.01
twoepochs_s2	0.1	0.999	0.052	0.031	0.027
twoepochs_s3	0.1	0.999	0.042	0.028	0.074
twoepochs_s4	0.1	0.999	0.06	0.104	0.159
