method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.999	twoepochs_eq	0.0925129	0.137543	0.228741	783.527	0.17935
ABC	0.1	0.999	twoepochs_eq	0.118422	0.126056	0.240042	800.906	0.181262
ABC	0.1	0.999	twoepochs_eq	0.190794	0.103799	0.274209	805.667	0.195051
ABC	0.1	0.999	twoepochs_eq	0.0937978	0.158329	0.250665	414.644	0.194869
ABC	0.1	0.999	twoepochs_eq	0.0975528	0.127345	0.217625	611.091	0.173145
ABC	0.1	0.999	twoepochs_eq	0.134054	0.124889	0.243602	418.5	0.18216
ABC	0.1	0.999	twoepochs_eq	0.103321	0.138633	0.235725	418.617	0.182802
ABC	0.1	0.999	twoepochs_eq	0.0636108	0.160956	0.220444	773.637	0.179691
ABC	0.1	0.999	twoepochs_eq	0.0768563	0.144639	0.213816	433.465	0.170367
ABC	0.1	0.999	twoepochs_eq	0.0634596	0.155674	0.199991	448.216	0.172528
ABC	0.1	0.999	twoepochs_eq	0.0993244	0.149633	0.235968	450.944	0.183191
ABC	0.1	0.999	twoepochs_eq	0.141928	0.110052	0.253835	756.713	0.194132
ABC	0.1	0.999	twoepochs_eq	0.0729327	0.13557	0.207569	770.264	0.167029
ABC	0.1	0.999	twoepochs_eq	0.134695	0.140895	0.269259	440.029	0.193596
ABC	0.1	0.999	twoepochs_eq	0.118304	0.140438	0.251403	773.617	0.192599
ABC	0.1	0.999	twoepochs_eq	0.0869322	0.150711	0.228623	422.463	0.174658
ABC	0.1	0.999	twoepochs_eq	0.0816868	0.137393	0.215598	431.385	0.173419
ABC	0.1	0.999	twoepochs_eq	0.0937896	0.148998	0.231621	767.388	0.180303
ABC	0.1	0.999	twoepochs_eq	0.126604	0.119757	0.239029	830.42	0.183614
ABC	0.1	0.999	twoepochs_eq	0.0665042	0.16333	0.228642	421.064	0.179822
ABC	0.1	0.999	twoepochs_eq	0.131453	0.1198	0.233226	449.521	0.180683
ABC	0.1	0.999	twoepochs_eq	0.0771896	0.153238	0.220702	762.424	0.180558
ABC	0.1	0.999	twoepochs_eq	0.0928474	0.152821	0.232077	779.21	0.186043
ABC	0.1	0.999	twoepochs_eq	0.0807094	0.126099	0.213214	437.888	0.172581
ABC	0.1	0.999	twoepochs_eq	0.042888	0.172818	0.206179	417.165	0.169967
ABC	0.1	0.999	twoepochs_eq	0.116044	0.140538	0.239789	456.735	0.185172
ABC	0.1	0.999	twoepochs_eq	0.0930116	0.145271	0.231975	759.587	0.184618
ABC	0.1	0.999	twoepochs_eq	0.0908797	0.139754	0.219936	413.631	0.176085
ABC	0.1	0.999	twoepochs_eq	0.0898813	0.143449	0.231879	811.749	0.179956
ABC	0.1	0.999	twoepochs_eq	0.0740379	0.151779	0.217072	436.001	0.174359
ABC	0.1	0.999	twoepochs_eq	0.0831593	0.153549	0.222475	448.617	0.179936
ABC	0.1	0.999	twoepochs_eq	0.162968	0.130023	0.269991	764.826	0.196138
ABC	0.1	0.999	twoepochs_eq	0.139958	0.135731	0.260237	419.623	0.194968
ABC	0.1	0.999	twoepochs_eq	0.115487	0.1348	0.238825	746.139	0.180555
ABC	0.1	0.999	twoepochs_eq	0.0780467	0.132556	0.199867	753.149	0.168118
ABC	0.1	0.999	twoepochs_eq	0.135671	0.109519	0.243841	768.9	0.18728
ABC	0.1	0.999	twoepochs_eq	0.0704027	0.152234	0.208671	477.281	0.175663
ABC	0.1	0.999	twoepochs_eq	0.108892	0.135418	0.231837	786.837	0.17567
ABC	0.1	0.999	twoepochs_eq	0.101818	0.128899	0.225187	420.927	0.172082
ABC	0.1	0.999	twoepochs_eq	0.120794	0.120072	0.235981	468.873	0.180231
ABC	0.1	0.999	twoepochs_eq	0.0840385	0.149952	0.215184	767.315	0.170766
ABC	0.1	0.999	twoepochs_eq	0.103812	0.145243	0.233266	448.776	0.17723
ABC	0.1	0.999	twoepochs_eq	0.0869226	0.155887	0.225639	788.168	0.176023
ABC	0.1	0.999	twoepochs_eq	0.0579492	0.159541	0.200033	420.852	0.162727
ABC	0.1	0.999	twoepochs_eq	0.0511287	0.156004	0.197689	444.194	0.162254
ABC	0.1	0.999	twoepochs_eq	0.128823	0.141024	0.231123	774.548	0.1786
ABC	0.1	0.999	twoepochs_eq	0.10638	0.145174	0.237286	777.38	0.186009
ABC	0.1	0.999	twoepochs_eq	0.0922209	0.141012	0.228173	800.784	0.180567
ABC	0.1	0.999	twoepochs_eq	0.148172	0.113564	0.256413	762.418	0.18835
ABC	0.1	0.999	twoepochs_eq	0.0801176	0.139358	0.208569	783.815	0.165006
ABC	0.1	0.999	twoepochs_eq	0.0904887	0.13733	0.223963	765.627	0.179587
ABC	0.1	0.999	twoepochs_eq	0.128215	0.121092	0.242275	786.321	0.181622
ABC	0.1	0.999	twoepochs_eq	0.0879974	0.145939	0.224353	428.969	0.175736
ABC	0.1	0.999	twoepochs_eq	0.0722631	0.154146	0.23196	793.071	0.180833
ABC	0.1	0.999	twoepochs_eq	0.0511906	0.185575	0.219103	473.254	0.179468
ABC	0.1	0.999	twoepochs_eq	0.114448	0.139409	0.242215	786.054	0.186066
ABC	0.1	0.999	twoepochs_eq	0.104887	0.137156	0.227784	725.861	0.182419
ABC	0.1	0.999	twoepochs_eq	0.0769445	0.143087	0.210245	439.123	0.168877
ABC	0.1	0.999	twoepochs_eq	0.112677	0.13951	0.236019	412.902	0.178814
ABC	0.1	0.999	twoepochs_eq	0.0541421	0.168534	0.210843	493.377	0.178555
ABC	0.1	0.999	twoepochs_eq	0.10464	0.11463	0.21176	458.537	0.16724
ABC	0.1	0.999	twoepochs_eq	0.0711398	0.142874	0.209072	799.207	0.166491
ABC	0.1	0.999	twoepochs_eq	0.0812889	0.152785	0.218371	430.709	0.173248
ABC	0.1	0.999	twoepochs_eq	0.12529	0.134165	0.232367	794.684	0.177462
ABC	0.1	0.999	twoepochs_eq	0.120316	0.116011	0.230617	405.526	0.183416
ABC	0.1	0.999	twoepochs_eq	0.140851	0.120239	0.246082	590.36	0.188939
ABC	0.1	0.999	twoepochs_eq	0.118181	0.127393	0.236179	774.611	0.181814
ABC	0.1	0.999	twoepochs_eq	0.0816623	0.153915	0.234849	795.318	0.180428
ABC	0.1	0.999	twoepochs_eq	0.131053	0.103538	0.218005	829.896	0.164742
ABC	0.1	0.999	twoepochs_eq	0.0998996	0.138594	0.228309	777.729	0.178681
ABC	0.1	0.999	twoepochs_eq	0.123215	0.127044	0.23296	780.994	0.181975
ABC	0.1	0.999	twoepochs_eq	0.116416	0.136299	0.24562	771.157	0.186234
ABC	0.1	0.999	twoepochs_eq	0.0698435	0.157523	0.226619	439.144	0.178838
ABC	0.1	0.999	twoepochs_eq	0.092747	0.14161	0.227473	763.717	0.175416
ABC	0.1	0.999	twoepochs_eq	0.11217	0.134036	0.234958	803.895	0.180613
ABC	0.1	0.999	twoepochs_eq	0.0913142	0.149714	0.21932	766.185	0.179651
ABC	0.1	0.999	twoepochs_eq	0.0761351	0.161306	0.228614	772.674	0.182225
ABC	0.1	0.999	twoepochs_eq	0.0853471	0.149943	0.228163	767.851	0.183178
ABC	0.1	0.999	twoepochs_eq	0.0897148	0.150128	0.228167	740.514	0.171517
ABC	0.1	0.999	twoepochs_eq	0.0961105	0.150327	0.233895	386.256	0.190637
ABC	0.1	0.999	twoepochs_eq	0.102616	0.132154	0.22704	420.729	0.177858
ABC	0.1	0.999	twoepochs_eq	0.0914338	0.139433	0.223499	788.537	0.179769
ABC	0.1	0.999	twoepochs_eq	0.105631	0.125376	0.225388	795.509	0.182094
ABC	0.1	0.999	twoepochs_eq	0.0638744	0.160368	0.225404	782.789	0.1796
ABC	0.1	0.999	twoepochs_eq	0.104584	0.127332	0.22467	798.651	0.18237
ABC	0.1	0.999	twoepochs_eq	0.110529	0.150503	0.243882	767.513	0.189213
ABC	0.1	0.999	twoepochs_eq	0.09623	0.129547	0.215004	387.135	0.174793
ABC	0.1	0.999	twoepochs_eq	0.115178	0.141921	0.240472	784.805	0.190057
ABC	0.1	0.999	twoepochs_eq	0.0488065	0.166563	0.21626	441.481	0.180987
ABC	0.1	0.999	twoepochs_eq	0.098786	0.139974	0.228558	425.42	0.184087
ABC	0.1	0.999	twoepochs_eq	0.135195	0.114896	0.237957	825.801	0.183601
ABC	0.1	0.999	twoepochs_eq	0.103852	0.144362	0.233522	786.108	0.183274
ABC	0.1	0.999	twoepochs_eq	0.120412	0.123537	0.228699	819.677	0.176527
ABC	0.1	0.999	twoepochs_eq	0.118342	0.124382	0.234915	427.371	0.182562
ABC	0.1	0.999	twoepochs_eq	0.0710604	0.164011	0.232427	430.95	0.179376
ABC	0.1	0.999	twoepochs_eq	0.0743731	0.163942	0.217367	773.422	0.175736
ABC	0.1	0.999	twoepochs_eq	0.0757878	0.148504	0.216425	405.085	0.181494
ABC	0.1	0.999	twoepochs_eq	0.139552	0.130801	0.255991	795.278	0.200085
ABC	0.1	0.999	twoepochs_eq	0.117459	0.122661	0.226025	435.461	0.171922
ABC	0.1	0.999	twoepochs_eq	0.0683996	0.15752	0.217656	416.445	0.17199
ABC	0.1	0.999	twoepochs_s1	0.0202724	0.180687	0.19676	405.133	0.170069
ABC	0.1	0.999	twoepochs_s1	0.106804	0.127213	0.228091	440.207	0.183917
ABC	0.1	0.999	twoepochs_s1	0.0942096	0.132994	0.217388	687.724	0.180181
ABC	0.1	0.999	twoepochs_s1	0.0619994	0.144403	0.200123	747.647	0.164204
ABC	0.1	0.999	twoepochs_s1	0.0584312	0.176467	0.217126	455.423	0.180428
ABC	0.1	0.999	twoepochs_s1	0.0468461	0.167809	0.208636	447.898	0.173815
ABC	0.1	0.999	twoepochs_s1	0.0623905	0.151156	0.20229	760.051	0.171219
ABC	0.1	0.999	twoepochs_s1	0.0591809	0.14845	0.201827	424.79	0.176331
ABC	0.1	0.999	twoepochs_s1	0.0444101	0.172092	0.21287	409.951	0.181768
ABC	0.1	0.999	twoepochs_s1	0.0343073	0.159957	0.18812	753.444	0.157923
ABC	0.1	0.999	twoepochs_s1	0.0438709	0.174282	0.202583	435.121	0.172669
ABC	0.1	0.999	twoepochs_s1	0.0642544	0.15787	0.199156	760.109	0.171871
ABC	0.1	0.999	twoepochs_s1	0.0367741	0.180844	0.20831	773.828	0.18125
ABC	0.1	0.999	twoepochs_s1	0.0142655	0.183788	0.19297	731.784	0.168943
ABC	0.1	0.999	twoepochs_s1	0.0631238	0.155462	0.21166	775.633	0.171407
ABC	0.1	0.999	twoepochs_s1	0.0569596	0.17065	0.226266	758.768	0.184573
ABC	0.1	0.999	twoepochs_s1	0.0533728	0.148674	0.19535	413.174	0.168467
ABC	0.1	0.999	twoepochs_s1	0.0652258	0.158279	0.209456	792.701	0.17368
ABC	0.1	0.999	twoepochs_s1	0.00350307	0.182298	0.182977	418.143	0.160878
ABC	0.1	0.999	twoepochs_s1	0.0700902	0.156849	0.206461	414.499	0.170519
ABC	0.1	0.999	twoepochs_s1	0.0673695	0.156043	0.218115	404.126	0.181741
ABC	0.1	0.999	twoepochs_s1	0.0193107	0.180452	0.190963	762.664	0.169713
ABC	0.1	0.999	twoepochs_s1	0.0815572	0.146537	0.206734	773.32	0.175118
ABC	0.1	0.999	twoepochs_s1	0.064935	0.163587	0.219354	396.241	0.180589
ABC	0.1	0.999	twoepochs_s1	0.0557593	0.156384	0.206748	407.547	0.173168
ABC	0.1	0.999	twoepochs_s1	0.0337822	0.173325	0.199168	780.035	0.168902
ABC	0.1	0.999	twoepochs_s1	0.0475061	0.161892	0.202569	768.675	0.177975
ABC	0.1	0.999	twoepochs_s1	0.0125145	0.18724	0.195605	405.939	0.166859
ABC	0.1	0.999	twoepochs_s1	0.071281	0.166811	0.209912	773.391	0.175591
ABC	0.1	0.999	twoepochs_s1	0.082487	0.156486	0.223005	798.067	0.185317
ABC	0.1	0.999	twoepochs_s1	0.0237466	0.183102	0.204813	375.307	0.171357
ABC	0.1	0.999	twoepochs_s1	0.0171689	0.172394	0.187514	739.595	0.169178
ABC	0.1	0.999	twoepochs_s1	0.0197155	0.190402	0.201817	772.159	0.167541
ABC	0.1	0.999	twoepochs_s1	0.0253556	0.178389	0.202083	445.019	0.176981
ABC	0.1	0.999	twoepochs_s1	0.0147487	0.172356	0.188666	791.474	0.167395
ABC	0.1	0.999	twoepochs_s1	0.0952551	0.141499	0.221801	749.667	0.183932
ABC	0.1	0.999	twoepochs_s1	0.0341204	0.184088	0.205341	421.575	0.173124
ABC	0.1	0.999	twoepochs_s1	-0.0074071	0.19863	0.182837	371.842	0.168004
ABC	0.1	0.999	twoepochs_s1	0.00905696	0.17893	0.188071	459.936	0.170332
ABC	0.1	0.999	twoepochs_s1	0.0388842	0.180291	0.216143	785.533	0.175116
ABC	0.1	0.999	twoepochs_s1	0.0457418	0.181448	0.218075	737.172	0.186832
ABC	0.1	0.999	twoepochs_s1	0.048436	0.174816	0.20654	738.964	0.182802
ABC	0.1	0.999	twoepochs_s1	0.0286593	0.185115	0.21241	406.148	0.179978
ABC	0.1	0.999	twoepochs_s1	0.0209233	0.177963	0.19615	443.268	0.172844
ABC	0.1	0.999	twoepochs_s1	0.012695	0.177791	0.183204	468.866	0.160752
ABC	0.1	0.999	twoepochs_s1	0.0455993	0.176773	0.211223	805.076	0.175088
ABC	0.1	0.999	twoepochs_s1	0.00753949	0.180762	0.18285	730.552	0.172071
ABC	0.1	0.999	twoepochs_s1	0.076035	0.136772	0.198703	422.872	0.176849
ABC	0.1	0.999	twoepochs_s1	0.0483067	0.162187	0.197113	734.578	0.167143
ABC	0.1	0.999	twoepochs_s1	0.0680683	0.146454	0.201028	406.532	0.177956
ABC	0.1	0.999	twoepochs_s1	0.0480536	0.150748	0.201959	802.648	0.173515
ABC	0.1	0.999	twoepochs_s1	0.0484735	0.16224	0.204921	464.123	0.175335
ABC	0.1	0.999	twoepochs_s1	0.0576804	0.157994	0.198312	446.534	0.173613
ABC	0.1	0.999	twoepochs_s1	0.0239983	0.157075	0.17747	414.862	0.167337
ABC	0.1	0.999	twoepochs_s1	0.0204902	0.195772	0.211936	455.514	0.174399
ABC	0.1	0.999	twoepochs_s1	0.04969	0.170401	0.209039	750.696	0.172894
ABC	0.1	0.999	twoepochs_s1	0.0744792	0.137985	0.200659	778.875	0.170566
ABC	0.1	0.999	twoepochs_s1	0.0543473	0.172192	0.214834	757.333	0.176859
ABC	0.1	0.999	twoepochs_s1	0.0474706	0.164365	0.204153	755.733	0.181399
ABC	0.1	0.999	twoepochs_s1	0.0385935	0.173334	0.205296	757.865	0.175107
ABC	0.1	0.999	twoepochs_s1	0.0762843	0.138652	0.193326	770.267	0.163794
ABC	0.1	0.999	twoepochs_s1	0.0625654	0.156403	0.209044	603.035	0.180532
ABC	0.1	0.999	twoepochs_s1	0.0109566	0.171262	0.177401	784.08	0.16389
ABC	0.1	0.999	twoepochs_s1	0.0356372	0.176619	0.20105	429.445	0.174668
ABC	0.1	0.999	twoepochs_s1	-0.00728442	0.199553	0.192507	410.208	0.165241
ABC	0.1	0.999	twoepochs_s1	0.0645597	0.138484	0.205831	684.046	0.177371
ABC	0.1	0.999	twoepochs_s1	0.0312414	0.187839	0.211136	752.056	0.177688
ABC	0.1	0.999	twoepochs_s1	0.0529763	0.168157	0.214257	766.319	0.174629
ABC	0.1	0.999	twoepochs_s1	-0.0200196	0.209925	0.189528	495.399	0.168953
ABC	0.1	0.999	twoepochs_s1	0.0600627	0.155872	0.206223	745.035	0.181755
ABC	0.1	0.999	twoepochs_s1	0.0350914	0.16905	0.193953	736.251	0.16647
ABC	0.1	0.999	twoepochs_s1	0.0621534	0.17276	0.235279	403.54	0.185654
ABC	0.1	0.999	twoepochs_s1	0.076978	0.17142	0.235652	413.62	0.188968
ABC	0.1	0.999	twoepochs_s1	0.0558831	0.151229	0.201942	791.996	0.17292
ABC	0.1	0.999	twoepochs_s1	0.064689	0.158669	0.211243	765.647	0.176488
ABC	0.1	0.999	twoepochs_s1	0.0430246	0.158402	0.1929	771.058	0.165787
ABC	0.1	0.999	twoepochs_s1	0.0602039	0.166219	0.216772	770.743	0.188225
ABC	0.1	0.999	twoepochs_s1	0.0572517	0.172024	0.220482	749.321	0.189015
ABC	0.1	0.999	twoepochs_s1	0.0466491	0.166583	0.207873	753.403	0.179069
ABC	0.1	0.999	twoepochs_s1	0.0485459	0.158479	0.204625	377.465	0.176821
ABC	0.1	0.999	twoepochs_s1	0.0286855	0.169988	0.197501	767.419	0.173699
ABC	0.1	0.999	twoepochs_s1	0.0108373	0.178494	0.187861	430.166	0.164725
ABC	0.1	0.999	twoepochs_s1	0.0466845	0.174502	0.209385	767.483	0.175671
ABC	0.1	0.999	twoepochs_s1	0.00690878	0.202812	0.199773	754.83	0.171729
ABC	0.1	0.999	twoepochs_s1	0.0249794	0.189652	0.210756	794.045	0.176414
ABC	0.1	0.999	twoepochs_s1	0.0301144	0.170421	0.206622	764.246	0.178696
ABC	0.1	0.999	twoepochs_s1	0.0605517	0.151607	0.205138	416.535	0.170722
ABC	0.1	0.999	twoepochs_s1	0.0922988	0.139105	0.210011	427.463	0.174541
ABC	0.1	0.999	twoepochs_s1	0.103964	0.146436	0.236284	782.622	0.186043
ABC	0.1	0.999	twoepochs_s1	0.0380012	0.168156	0.201383	780.66	0.171293
ABC	0.1	0.999	twoepochs_s1	0.0557704	0.180246	0.232719	728.928	0.193759
ABC	0.1	0.999	twoepochs_s1	0.0870859	0.147612	0.235148	742.759	0.187081
ABC	0.1	0.999	twoepochs_s1	0.0387043	0.174311	0.203096	406.8	0.174143
ABC	0.1	0.999	twoepochs_s1	0.0167141	0.195229	0.20889	438.387	0.175809
ABC	0.1	0.999	twoepochs_s1	0.0439595	0.180636	0.221234	477.868	0.185937
ABC	0.1	0.999	twoepochs_s1	0.0789299	0.141287	0.211141	427.554	0.177331
ABC	0.1	0.999	twoepochs_s1	0.0706068	0.162123	0.225996	453.19	0.18285
ABC	0.1	0.999	twoepochs_s1	0.0592977	0.147614	0.202552	774.867	0.172746
ABC	0.1	0.999	twoepochs_s1	0.0599732	0.164069	0.212389	413.495	0.177861
ABC	0.1	0.999	twoepochs_s1	0.0484611	0.150977	0.189952	780.35	0.169817
ABC	0.1	0.999	twoepochs_s2	0.0652022	0.13604	0.199653	753.564	0.180533
ABC	0.1	0.999	twoepochs_s2	0.0189094	0.170381	0.181049	737.683	0.165016
ABC	0.1	0.999	twoepochs_s2	0.0551224	0.163134	0.211171	772.128	0.184308
ABC	0.1	0.999	twoepochs_s2	0.0205885	0.163381	0.17621	426.942	0.171365
ABC	0.1	0.999	twoepochs_s2	0.0247006	0.165455	0.182057	774.664	0.166954
ABC	0.1	0.999	twoepochs_s2	0.0647806	0.143048	0.184647	770.418	0.169709
ABC	0.1	0.999	twoepochs_s2	0.0423218	0.154	0.191314	487.965	0.165748
ABC	0.1	0.999	twoepochs_s2	0.0314457	0.162456	0.191153	466.19	0.177482
ABC	0.1	0.999	twoepochs_s2	0.0274164	0.152015	0.175766	437.095	0.162912
ABC	0.1	0.999	twoepochs_s2	0.0373732	0.156915	0.176448	771.588	0.170272
ABC	0.1	0.999	twoepochs_s2	0.0200857	0.165512	0.179324	761.754	0.168637
ABC	0.1	0.999	twoepochs_s2	0.0277176	0.168898	0.193444	452.528	0.174184
ABC	0.1	0.999	twoepochs_s2	0.0507955	0.133831	0.189656	746.942	0.163622
ABC	0.1	0.999	twoepochs_s2	0.012184	0.175359	0.183757	782.084	0.168909
ABC	0.1	0.999	twoepochs_s2	0.00847586	0.154573	0.161121	436.702	0.15947
ABC	0.1	0.999	twoepochs_s2	0.0190921	0.171697	0.187371	398.588	0.169366
ABC	0.1	0.999	twoepochs_s2	0.0180867	0.177934	0.192046	745.018	0.18242
ABC	0.1	0.999	twoepochs_s2	0.0178372	0.166254	0.180081	778.245	0.16601
ABC	0.1	0.999	twoepochs_s2	0.0578566	0.138954	0.19368	644.33	0.178525
ABC	0.1	0.999	twoepochs_s2	0.0371391	0.161178	0.193195	762.084	0.174522
ABC	0.1	0.999	twoepochs_s2	0.0734968	0.128561	0.200698	438.282	0.17303
ABC	0.1	0.999	twoepochs_s2	0.0357015	0.159982	0.188592	781.966	0.171165
ABC	0.1	0.999	twoepochs_s2	-0.00305556	0.175535	0.162634	421.048	0.165255
ABC	0.1	0.999	twoepochs_s2	0.0124927	0.163621	0.172482	420.808	0.165387
ABC	0.1	0.999	twoepochs_s2	0.000402758	0.176513	0.176083	656.148	0.168383
ABC	0.1	0.999	twoepochs_s2	0.0200727	0.173252	0.182189	753.515	0.16735
ABC	0.1	0.999	twoepochs_s2	-0.00536091	0.18729	0.178456	766.097	0.176895
ABC	0.1	0.999	twoepochs_s2	0.0305327	0.17878	0.201466	421.869	0.175407
ABC	0.1	0.999	twoepochs_s2	0.021533	0.160166	0.187722	461.533	0.167335
ABC	0.1	0.999	twoepochs_s2	0.0452337	0.134368	0.178219	719.735	0.166374
ABC	0.1	0.999	twoepochs_s2	0.0692992	0.132086	0.19653	758.744	0.17264
ABC	0.1	0.999	twoepochs_s2	-0.0149778	0.198281	0.181369	385.988	0.182915
ABC	0.1	0.999	twoepochs_s2	0.0585291	0.113382	0.167049	747.856	0.162414
ABC	0.1	0.999	twoepochs_s2	0.0245364	0.138478	0.159891	769.794	0.151943
ABC	0.1	0.999	twoepochs_s2	0.0332929	0.165196	0.186683	745.785	0.175797
ABC	0.1	0.999	twoepochs_s2	0.0629124	0.136504	0.189255	764.29	0.175004
ABC	0.1	0.999	twoepochs_s2	0.0486932	0.138249	0.17817	756.931	0.169377
ABC	0.1	0.999	twoepochs_s2	0.0329006	0.169433	0.194568	777.997	0.1804
ABC	0.1	0.999	twoepochs_s2	0.0175955	0.166774	0.174762	771.51	0.175046
ABC	0.1	0.999	twoepochs_s2	0.0157969	0.154119	0.17268	752.929	0.163038
ABC	0.1	0.999	twoepochs_s2	0.0134387	0.178797	0.195001	681.258	0.178358
ABC	0.1	0.999	twoepochs_s2	0.102841	0.138584	0.234943	760.799	0.185863
ABC	0.1	0.999	twoepochs_s2	0.0552117	0.136651	0.189757	435.837	0.172534
ABC	0.1	0.999	twoepochs_s2	0.0249032	0.161007	0.183073	778.918	0.176061
ABC	0.1	0.999	twoepochs_s2	0.0385842	0.14362	0.176395	415.667	0.159736
ABC	0.1	0.999	twoepochs_s2	0.0207266	0.161524	0.181182	818.939	0.168107
ABC	0.1	0.999	twoepochs_s2	0.0507077	0.15977	0.199648	773.545	0.175989
ABC	0.1	0.999	twoepochs_s2	0.0244004	0.152608	0.168233	739.464	0.161888
ABC	0.1	0.999	twoepochs_s2	0.0592168	0.145776	0.199253	782.283	0.173932
ABC	0.1	0.999	twoepochs_s2	0.0101731	0.165896	0.171882	785.615	0.170935
ABC	0.1	0.999	twoepochs_s2	0.0562594	0.138926	0.192892	821.782	0.176567
ABC	0.1	0.999	twoepochs_s2	0.00163056	0.177611	0.182764	404.335	0.171292
ABC	0.1	0.999	twoepochs_s2	0.0413683	0.144293	0.173914	785.908	0.167745
ABC	0.1	0.999	twoepochs_s2	0.0742801	0.135641	0.196173	390.142	0.175361
ABC	0.1	0.999	twoepochs_s2	0.0721894	0.127136	0.188593	790.29	0.167507
ABC	0.1	0.999	twoepochs_s2	0.0325245	0.170657	0.195977	797.697	0.178869
ABC	0.1	0.999	twoepochs_s2	0.0122265	0.173547	0.174273	777.944	0.170948
ABC	0.1	0.999	twoepochs_s2	0.0508787	0.157558	0.190441	410.678	0.169869
ABC	0.1	0.999	twoepochs_s2	0.0377197	0.153972	0.186713	781.463	0.176327
ABC	0.1	0.999	twoepochs_s2	0.016535	0.172003	0.181595	475.268	0.170792
ABC	0.1	0.999	twoepochs_s2	0.0423642	0.160603	0.19693	758.786	0.175538
ABC	0.1	0.999	twoepochs_s2	0.0386792	0.148737	0.187821	458.225	0.173304
ABC	0.1	0.999	twoepochs_s2	0.0502817	0.135584	0.181319	764.782	0.166277
ABC	0.1	0.999	twoepochs_s2	-0.0176448	0.176853	0.160959	765.204	0.162754
ABC	0.1	0.999	twoepochs_s2	-0.00832928	0.183609	0.179585	784.15	0.165829
