method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.999	twoepochs_eq	0.0920891	0.136269	0.229954	437.82	0.178411
ABC	0.1	0.999	twoepochs_eq	0.116223	0.133235	0.235795	422.837	0.180335
ABC	0.1	0.999	twoepochs_eq	0.209714	0.102499	0.277792	812.664	0.196094
ABC	0.1	0.999	twoepochs_eq	0.107139	0.142062	0.248648	608.733	0.19657
ABC	0.1	0.999	twoepochs_eq	0.0846823	0.132196	0.214185	768.436	0.16962
ABC	0.1	0.999	twoepochs_eq	0.119609	0.139597	0.242502	434.83	0.177431
ABC	0.1	0.999	twoepochs_eq	0.11696	0.14136	0.235676	797.959	0.18286
ABC	0.1	0.999	twoepochs_eq	0.0679995	0.15817	0.220708	816.361	0.17846
ABC	0.1	0.999	twoepochs_eq	0.0790216	0.144838	0.213518	764.597	0.172415
ABC	0.1	0.999	twoepochs_eq	0.0586466	0.151892	0.202152	759.38	0.174268
ABC	0.1	0.999	twoepochs_eq	0.0819803	0.157951	0.232282	748.995	0.182681
ABC	0.1	0.999	twoepochs_eq	0.143881	0.111028	0.253731	792.142	0.189465
ABC	0.1	0.999	twoepochs_eq	0.0707215	0.139703	0.206174	779.922	0.164406
ABC	0.1	0.999	twoepochs_eq	0.146053	0.129216	0.263636	406.776	0.195107
ABC	0.1	0.999	twoepochs_eq	0.110071	0.144136	0.24787	445.355	0.188572
ABC	0.1	0.999	twoepochs_eq	0.0857019	0.154226	0.226589	443.484	0.177317
ABC	0.1	0.999	twoepochs_eq	0.0796232	0.138091	0.215255	799.093	0.173163
ABC	0.1	0.999	twoepochs_eq	0.0950873	0.145037	0.23492	795.709	0.183159
ABC	0.1	0.999	twoepochs_eq	0.130948	0.122557	0.246205	780.966	0.182728
ABC	0.1	0.999	twoepochs_eq	0.0773958	0.168794	0.230765	414.775	0.178403
ABC	0.1	0.999	twoepochs_eq	0.121373	0.117014	0.235608	829.202	0.176786
ABC	0.1	0.999	twoepochs_eq	0.0690595	0.15207	0.223299	773.406	0.182953
ABC	0.1	0.999	twoepochs_eq	0.089667	0.162924	0.23511	447.857	0.189274
ABC	0.1	0.999	twoepochs_eq	0.094765	0.13648	0.211502	469.815	0.170991
ABC	0.1	0.999	twoepochs_eq	0.0236411	0.176218	0.198345	422.619	0.166516
ABC	0.1	0.999	twoepochs_eq	0.109348	0.139552	0.245545	783.862	0.185039
ABC	0.1	0.999	twoepochs_eq	0.11072	0.141118	0.233436	403.346	0.186886
ABC	0.1	0.999	twoepochs_eq	0.0965595	0.132092	0.223974	419.2	0.176931
ABC	0.1	0.999	twoepochs_eq	0.106563	0.136931	0.23317	773.293	0.179085
ABC	0.1	0.999	twoepochs_eq	0.0567664	0.15618	0.220018	395.458	0.174886
ABC	0.1	0.999	twoepochs_eq	0.0743805	0.14621	0.22111	773.324	0.181039
ABC	0.1	0.999	twoepochs_eq	0.144296	0.130881	0.265608	772.896	0.195399
ABC	0.1	0.999	twoepochs_eq	0.120093	0.140433	0.256386	443.447	0.191042
ABC	0.1	0.999	twoepochs_eq	0.127529	0.125423	0.242003	792.598	0.179623
ABC	0.1	0.999	twoepochs_eq	0.0788037	0.132935	0.200057	427.71	0.168925
ABC	0.1	0.999	twoepochs_eq	0.133726	0.123013	0.240802	399.266	0.184244
ABC	0.1	0.999	twoepochs_eq	0.0657197	0.156058	0.211866	769.743	0.173037
ABC	0.1	0.999	twoepochs_eq	0.0984163	0.135692	0.231366	458.48	0.174094
ABC	0.1	0.999	twoepochs_eq	0.101908	0.124424	0.221087	771.876	0.16906
ABC	0.1	0.999	twoepochs_eq	0.102231	0.130584	0.23606	813.889	0.179296
ABC	0.1	0.999	twoepochs_eq	0.0802658	0.152192	0.214785	432.168	0.173106
ABC	0.1	0.999	twoepochs_eq	0.0917939	0.146743	0.228936	444.975	0.177366
ABC	0.1	0.999	twoepochs_eq	0.0928734	0.151129	0.228031	389.161	0.178258
ABC	0.1	0.999	twoepochs_eq	0.048562	0.149925	0.197069	418.956	0.161472
ABC	0.1	0.999	twoepochs_eq	0.0565229	0.149145	0.198895	391.372	0.161447
ABC	0.1	0.999	twoepochs_eq	0.0990884	0.148337	0.235522	784.264	0.179915
ABC	0.1	0.999	twoepochs_eq	0.0961886	0.158555	0.230218	784.848	0.183294
ABC	0.1	0.999	twoepochs_eq	0.0976778	0.141545	0.223504	773.926	0.178782
ABC	0.1	0.999	twoepochs_eq	0.160851	0.113526	0.254577	793.119	0.190776
ABC	0.1	0.999	twoepochs_eq	0.0795129	0.139595	0.211044	778.459	0.162133
ABC	0.1	0.999	twoepochs_eq	0.0970143	0.137807	0.226421	761.242	0.181459
ABC	0.1	0.999	twoepochs_eq	0.140768	0.118676	0.248467	788.119	0.186357
ABC	0.1	0.999	twoepochs_eq	0.110949	0.154188	0.228033	784.562	0.172704
ABC	0.1	0.999	twoepochs_eq	0.0864326	0.151132	0.231018	766.478	0.180287
ABC	0.1	0.999	twoepochs_eq	0.0409921	0.180425	0.221985	453.692	0.181079
ABC	0.1	0.999	twoepochs_eq	0.107545	0.15018	0.242033	803.109	0.184379
ABC	0.1	0.999	twoepochs_eq	0.0902368	0.143186	0.229984	765.725	0.182819
ABC	0.1	0.999	twoepochs_eq	0.0711443	0.140282	0.206755	483.002	0.168438
ABC	0.1	0.999	twoepochs_eq	0.109437	0.132332	0.235983	419.057	0.17676
ABC	0.1	0.999	twoepochs_eq	0.0514013	0.159549	0.210409	739.63	0.178986
ABC	0.1	0.999	twoepochs_eq	0.113188	0.114215	0.217468	468.234	0.169014
ABC	0.1	0.999	twoepochs_eq	0.0704544	0.143279	0.211567	731.606	0.165904
ABC	0.1	0.999	twoepochs_eq	0.0826101	0.144783	0.221791	822.099	0.175096
ABC	0.1	0.999	twoepochs_eq	0.10931	0.130713	0.225286	754.141	0.175442
ABC	0.1	0.999	twoepochs_eq	0.120587	0.124239	0.23306	801.213	0.18485
ABC	0.1	0.999	twoepochs_eq	0.139867	0.121546	0.248539	783.893	0.185803
ABC	0.1	0.999	twoepochs_eq	0.126708	0.133183	0.241323	786.308	0.186892
ABC	0.1	0.999	twoepochs_eq	0.0818271	0.154587	0.228615	642.865	0.178261
ABC	0.1	0.999	twoepochs_eq	0.136427	0.104803	0.229519	455.463	0.170197
ABC	0.1	0.999	twoepochs_eq	0.0907487	0.14663	0.231856	454.071	0.178982
ABC	0.1	0.999	twoepochs_eq	0.131263	0.125391	0.242733	432.506	0.188033
ABC	0.1	0.999	twoepochs_eq	0.106039	0.141304	0.240841	776.788	0.181648
ABC	0.1	0.999	twoepochs_eq	0.0686976	0.160516	0.227325	804.186	0.176757
ABC	0.1	0.999	twoepochs_eq	0.113438	0.139476	0.231076	791.067	0.176917
ABC	0.1	0.999	twoepochs_eq	0.100417	0.136997	0.231656	456.034	0.179528
ABC	0.1	0.999	twoepochs_eq	0.0781417	0.148087	0.221763	802.31	0.178165
ABC	0.1	0.999	twoepochs_eq	0.0807177	0.165121	0.225001	762.015	0.180065
ABC	0.1	0.999	twoepochs_eq	0.079437	0.152815	0.229915	414.636	0.18367
ABC	0.1	0.999	twoepochs_eq	0.0975125	0.137744	0.227902	750.062	0.169647
ABC	0.1	0.999	twoepochs_eq	0.10521	0.135314	0.233671	423.064	0.190721
ABC	0.1	0.999	twoepochs_eq	0.103511	0.145511	0.236887	769.329	0.180522
ABC	0.1	0.999	twoepochs_eq	0.12059	0.124195	0.217531	770.918	0.181162
ABC	0.1	0.999	twoepochs_eq	0.103483	0.13093	0.222314	408.651	0.176438
ABC	0.1	0.999	twoepochs_eq	0.0710927	0.162859	0.224923	747.148	0.179479
ABC	0.1	0.999	twoepochs_eq	0.104761	0.131275	0.228696	553.548	0.183401
ABC	0.1	0.999	twoepochs_eq	0.107039	0.161908	0.244661	436.246	0.190297
ABC	0.1	0.999	twoepochs_eq	0.0863361	0.137502	0.218459	813.937	0.170017
ABC	0.1	0.999	twoepochs_eq	0.101507	0.144586	0.236618	792.675	0.188831
ABC	0.1	0.999	twoepochs_eq	0.0617655	0.157875	0.216252	792.827	0.182042
ABC	0.1	0.999	twoepochs_eq	0.0980816	0.144423	0.229573	786.589	0.181579
ABC	0.1	0.999	twoepochs_eq	0.124057	0.11953	0.231234	438.507	0.183067
ABC	0.1	0.999	twoepochs_eq	0.103454	0.139445	0.229095	418.186	0.18102
ABC	0.1	0.999	twoepochs_eq	0.116067	0.123217	0.226098	707.981	0.173975
ABC	0.1	0.999	twoepochs_eq	0.120177	0.120016	0.229214	771.831	0.180196
ABC	0.1	0.999	twoepochs_eq	0.0658239	0.16836	0.229363	727.421	0.175102
ABC	0.1	0.999	twoepochs_eq	0.0524032	0.173084	0.217899	414.773	0.175775
ABC	0.1	0.999	twoepochs_eq	0.0827225	0.148746	0.217435	421.612	0.17922
ABC	0.1	0.999	twoepochs_eq	0.139189	0.120777	0.249967	799.01	0.194805
ABC	0.1	0.999	twoepochs_eq	0.105471	0.126033	0.21623	424.369	0.169334
ABC	0.1	0.999	twoepochs_eq	0.0730119	0.155463	0.2192	433.567	0.171595
ABC	0.1	0.999	twoepochs_s1	0.0223369	0.277458	0.290891	442.168	0.183342
ABC	0.1	0.999	twoepochs_s1	0.0643634	0.245103	0.310787	732.19	0.191017
ABC	0.1	0.999	twoepochs_s1	0.0334915	0.256861	0.278889	463.09	0.169479
ABC	0.1	0.999	twoepochs_s1	-0.00724636	0.292838	0.276276	434.68	0.171269
ABC	0.1	0.999	twoepochs_s1	0.0447659	0.255248	0.29308	455.658	0.177829
ABC	0.1	0.999	twoepochs_s1	-0.0163873	0.308019	0.285158	577.474	0.182194
ABC	0.1	0.999	twoepochs_s1	-7.49932e-5	0.309246	0.299729	747.884	0.18374
ABC	0.1	0.999	twoepochs_s1	0.0039443	0.283348	0.277255	476.841	0.174677
ABC	0.1	0.999	twoepochs_s1	0.0298265	0.254925	0.290432	755.324	0.176673
ABC	0.1	0.999	twoepochs_s1	0.00996196	0.277158	0.286861	584.386	0.177914
ABC	0.1	0.999	twoepochs_s1	0.0398592	0.265586	0.298575	428.928	0.186176
ABC	0.1	0.999	twoepochs_s1	0.0270352	0.268552	0.293039	774.256	0.183122
ABC	0.1	0.999	twoepochs_s1	0.0455889	0.254898	0.297995	746.807	0.18631
ABC	0.1	0.999	twoepochs_s1	0.0475458	0.262201	0.307318	338.277	0.191663
ABC	0.1	0.999	twoepochs_s1	0.0258616	0.280339	0.297073	752.096	0.187171
ABC	0.1	0.999	twoepochs_s1	0.015455	0.286668	0.297057	381.0	0.186336
ABC	0.1	0.999	twoepochs_s1	0.00224816	0.287693	0.282285	404.528	0.17579
ABC	0.1	0.999	twoepochs_s1	0.0379708	0.263376	0.294901	457.058	0.184706
ABC	0.1	0.999	twoepochs_s1	-0.0627892	0.345766	0.277074	353.105	0.175984
ABC	0.1	0.999	twoepochs_s1	0.0030941	0.29016	0.293646	418.758	0.185921
ABC	0.1	0.999	twoepochs_s1	0.00611922	0.292592	0.295085	402.917	0.18647
