method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_eq	0.0925129	0.137543	0.228741
ABC	0.1	0.999	twoepochs_eq	0.118422	0.126056	0.240042
ABC	0.1	0.999	twoepochs_eq	0.190794	0.103799	0.274209
ABC	0.1	0.999	twoepochs_eq	0.0937978	0.158329	0.250665
ABC	0.1	0.999	twoepochs_eq	0.0975528	0.127345	0.217625
ABC	0.1	0.999	twoepochs_eq	0.134054	0.124889	0.243602
ABC	0.1	0.999	twoepochs_eq	0.103321	0.138633	0.235725
ABC	0.1	0.999	twoepochs_eq	0.0636108	0.160956	0.220444
ABC	0.1	0.999	twoepochs_eq	0.0768563	0.144639	0.213816
ABC	0.1	0.999	twoepochs_eq	0.0634596	0.155674	0.199991
ABC	0.1	0.999	twoepochs_eq	0.0993244	0.149633	0.235968
ABC	0.1	0.999	twoepochs_eq	0.141928	0.110052	0.253835
ABC	0.1	0.999	twoepochs_eq	0.0729327	0.13557	0.207569
ABC	0.1	0.999	twoepochs_eq	0.134695	0.140895	0.269259
ABC	0.1	0.999	twoepochs_eq	0.118304	0.140438	0.251403
ABC	0.1	0.999	twoepochs_eq	0.0869322	0.150711	0.228623
ABC	0.1	0.999	twoepochs_eq	0.0816868	0.137393	0.215598
ABC	0.1	0.999	twoepochs_eq	0.0937896	0.148998	0.231621
ABC	0.1	0.999	twoepochs_eq	0.126604	0.119757	0.239029
ABC	0.1	0.999	twoepochs_eq	0.0665042	0.16333	0.228642
ABC	0.1	0.999	twoepochs_eq	0.131453	0.1198	0.233226
ABC	0.1	0.999	twoepochs_eq	0.0771896	0.153238	0.220702
ABC	0.1	0.999	twoepochs_eq	0.0928474	0.152821	0.232077
ABC	0.1	0.999	twoepochs_eq	0.0807094	0.126099	0.213214
ABC	0.1	0.999	twoepochs_eq	0.042888	0.172818	0.206179
ABC	0.1	0.999	twoepochs_eq	0.116044	0.140538	0.239789
ABC	0.1	0.999	twoepochs_eq	0.0930116	0.145271	0.231975
ABC	0.1	0.999	twoepochs_eq	0.0908797	0.139754	0.219936
ABC	0.1	0.999	twoepochs_eq	0.0898813	0.143449	0.231879
ABC	0.1	0.999	twoepochs_eq	0.0740379	0.151779	0.217072
ABC	0.1	0.999	twoepochs_eq	0.0831593	0.153549	0.222475
ABC	0.1	0.999	twoepochs_eq	0.162968	0.130023	0.269991
ABC	0.1	0.999	twoepochs_eq	0.139958	0.135731	0.260237
ABC	0.1	0.999	twoepochs_eq	0.115487	0.1348	0.238825
ABC	0.1	0.999	twoepochs_eq	0.0780467	0.132556	0.199867
ABC	0.1	0.999	twoepochs_eq	0.135671	0.109519	0.243841
ABC	0.1	0.999	twoepochs_eq	0.0704027	0.152234	0.208671
ABC	0.1	0.999	twoepochs_eq	0.108892	0.135418	0.231837
ABC	0.1	0.999	twoepochs_eq	0.101818	0.128899	0.225187
ABC	0.1	0.999	twoepochs_eq	0.120794	0.120072	0.235981
ABC	0.1	0.999	twoepochs_eq	0.0840385	0.149952	0.215184
ABC	0.1	0.999	twoepochs_eq	0.103812	0.145243	0.233266
ABC	0.1	0.999	twoepochs_eq	0.0869226	0.155887	0.225639
ABC	0.1	0.999	twoepochs_eq	0.0579492	0.159541	0.200033
ABC	0.1	0.999	twoepochs_eq	0.0511287	0.156004	0.197689
ABC	0.1	0.999	twoepochs_eq	0.128823	0.141024	0.231123
ABC	0.1	0.999	twoepochs_eq	0.10638	0.145174	0.237286
