θ	μ	pposL	pposH	alphaW	alpha	α(x) 1	α(x) end	α(x nopos) 1	α(x nopos) end	α(asymptotic)	B	Ne	Sample
0.00264350177117301	6.60875442793252e-06	0.00809307589925168	0.000796943789338339	0.2	0.4	-0.11584	-0.00133	-0.08016	0.23085	0.093859698298834	0.2	100	100
0.00264350177117301	1.3217508855865e-06	0.0077775608194363	0.000264136014666005	0.2	0.4	-0.24523	0.03294	-0.21735	0.23031	0.119330549703864	0.2	500	100
0.00264350177117301	6.60875442793252e-07	0.00773866745572385	0.000207256233732317	0.2	0.4	-0.27774	0.05319	-0.25078	0.23011	0.123485337858953	0.2	1000	100
0.00264350177117301	1.3217508855865e-07	0.00770764640226846	0.000161759380517326	0.2	0.4	-0.31065	0.07359	-0.28441	0.22992	0.126906224638279	0.2	5000	100
0.00264350177117301	6.60875442793252e-08	0.00770376791397319	0.000157814286743614	0.2	0.4	-0.31539	0.07549	-0.28923	0.22989	0.127170404254414	0.2	10000	100
0.00264350177117301	1.3217508855865e-08	0.00770066588709488	0.000154704393064623	0.2	0.4	-0.3193	0.07701	-0.29319	0.22987	0.12737594794231	0.2	50000	100
0.00264350177117301	6.60875442793252e-09	0.00770027818285186	0.000154318543461542	0.2	0.4	-0.3198	0.0772	-0.2937	0.22987	0.127401267934772	0.2	1e+05	100
0.00264350177117301	1.3217508855865e-09	0.00769996802314368	0.000154010325656792	0.2	0.4	-0.32019	0.07735	-0.2941	0.22986	0.12742145550156	0.2	5e+05	100
0.00264350177117301	1.3217508855865e-06	0.0077775608194363	0.000264136014666005	0.2	0.4	-0.28457	-0.0104	-0.25713	0.23096	0.117443008212986	0.2	500	500
0.00264350177117301	6.60875442793252e-07	0.00773866745572385	0.000207256233732317	0.2	0.4	-0.35724	-0.00192	-0.33102	0.23093	0.121429438880064	0.2	1000	500
0.00264350177117301	1.3217508855865e-07	0.00770764640226846	0.000161759380517326	0.2	0.4	-0.45411	0.02097	-0.42898	0.23082	0.1253051994127	0.2	5000	500
0.00264350177117301	6.60875442793252e-08	0.00770376791397319	0.000157814286743614	0.2	0.4	-0.46969	0.02379	-0.44469	0.2308	0.12564947463212	0.2	10000	500
0.00264350177117301	1.3217508855865e-08	0.00770066588709488	0.000154704393064623	0.2	0.4	-0.48274	0.02621	-0.45784	0.23078	0.125925912484765	0.2	50000	500
0.00264350177117301	6.60875442793252e-09	0.00770027818285186	0.000154318543461542	0.2	0.4	-0.4844	0.02652	-0.45952	0.23078	0.125960516975574	0.2	1e+05	500
0.00264350177117301	1.3217508855865e-09	0.00769996802314368	0.000154010325656792	0.2	0.4	-0.48574	0.02677	-0.46087	0.23077	0.12598820685595	0.2	5e+05	500
1.6433217979109e-06	4.10830449477725e-09	0.00809307589925168	0.000796943789338339	0.2	0.4	0.02792	0.0819	0.04715	0.4024	0.276132485338506	0.999	100	100
1.6433217979109e-06	8.21660898955451e-10	0.0077775608194363	0.000264136014666005	0.2	0.4	-0.02311	0.16169	-0.00631	0.40186	0.290190690617497	0.999	500	100
1.6433217979109e-06	4.10830449477725e-10	0.00773866745572385	0.000207256233732317	0.2	0.4	-0.03271	0.17409	-0.0162	0.40179	0.291896491634309	0.999	1000	100
1.6433217979109e-06	8.21660898955451e-11	0.00770764640226846	0.000161759380517326	0.2	0.4	-0.04178	0.18444	-0.02548	0.40173	0.293263872479675	0.999	5000	100
1.6433217979109e-06	4.10830449477725e-11	0.00770376791397319	0.000157814286743614	0.2	0.4	-0.04304	0.18537	-0.02676	0.40173	0.293387678148579	0.999	10000	100
1.6433217979109e-06	8.21660898955451e-12	0.00770066588709488	0.000154704393064623	0.2	0.4	-0.04407	0.18611	-0.02782	0.40172	0.293485291334366	0.999	50000	100
1.6433217979109e-06	4.10830449477725e-12	0.00770027818285186	0.000154318543461542	0.2	0.4	-0.0442	0.18621	-0.02795	0.40172	0.293497402755288	0.999	1e+05	100
1.6433217979109e-06	8.21660898955451e-13	0.00769996802314368	0.000154010325656792	0.2	0.4	-0.04431	0.18628	-0.02806	0.40172	0.293507077060897	0.999	5e+05	100
1.6433217979109e-06	8.21660898955451e-10	0.0077775608194363	0.000264136014666005	0.2	0.4	-0.13361	0.04591	-0.11778	0.40256	0.287694818763637	0.999	500	500
1.6433217979109e-06	4.10830449477725e-10	0.00773866745572385	0.000207256233732317	0.2	0.4	-0.1648	0.07331	-0.14935	0.4025	0.289753788222357	0.999	1000	500
1.6433217979109e-06	8.21660898955451e-11	0.00770764640226846	0.000161759380517326	0.2	0.4	-0.19586	0.10091	-0.18071	0.40244	0.291486762523296	0.999	5000	500
1.6433217979109e-06	4.10830449477725e-11	0.00770376791397319	0.000157814286743614	0.2	0.4	-0.20028	0.1035	-0.18517	0.40244	0.291645115793284	0.999	10000	500
1.6433217979109e-06	8.21660898955451e-12	0.00770066588709488	0.000154704393064623	0.2	0.4	-0.20392	0.10557	-0.18883	0.40243	0.291770484632439	0.999	50000	500
1.6433217979109e-06	4.10830449477725e-12	0.00770027818285186	0.000154318543461542	0.2	0.4	-0.20438	0.10583	-0.18929	0.40243	0.291786072750409	0.999	1e+05	500
1.6433217979109e-06	8.21660898955451e-13	0.00769996802314368	0.000154010325656792	0.2	0.4	-0.20475	0.10604	-0.18967	0.40243	0.291798528730374	0.999	5e+05	500
