analysis	ci
noDemog_0.4_0.1_0.2	0.737373737373737
noDemog_0.4_0.3_0.2	0.787878787878788
noDemog_0.4_0.1_0.999	0.404040404040404
noDemog_0.4_0.3_0.999	0.767676767676768
