f	alphas	B	alphaW	sfs	analysis	time
0.5959595959595959	0.09296513170360343	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6060606060606061	0.09844857100923587	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6161616161616161	0.10091320795803438	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6262626262626263	0.10124649157479582	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6363636363636364	0.10045733084897379	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6464646464646465	0.10070901270618804	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6565656565656566	0.10320135674965514	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6666666666666666	0.10656726275720885	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6767676767676768	0.10179792457892278	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.6868686868686869	0.10639994934438457	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.696969696969697	0.11112990584461002	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7070707070707071	0.11778111541708547	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7171717171717171	0.11404518001339903	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7272727272727273	0.11386988616962257	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7373737373737373	0.11547301771327445	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7474747474747475	0.11681976033282038	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7575757575757576	0.11539363748823606	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7676767676767676	0.1139265239093612	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7777777777777778	0.11768900985718056	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.7878787878787878	0.12662925280974213	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.797979797979798	0.13139056851024544	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8080808080808081	0.1350755412633382	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8181818181818182	0.13242715370938518	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8282828282828283	0.130906081944962	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8383838383838383	0.14076537904731945	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8484848484848485	0.13612300703608682	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8585858585858586	0.14245049857015368	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8686868686868687	0.1399366853450471	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8787878787878788	0.14425008308421594	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.8888888888888888	0.13991054280835447	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.898989898989899	0.1538869307396865	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9090909090909091	0.14338825280030199	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9191919191919192	0.1424575066193916	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9292929292929293	0.12891868243388493	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9393939393939394	0.1185970412515176	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9494949494949495	0.12085197350356669	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9595959595959596	0.12808919825596354	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9696969696969697	0.13040159137015317	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.9797979797979798	0.10816914617390083	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.98989898989899	0.13423031303720812	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
1.0	0.2439887162032066	0.999	0.1	All alleles	Bottleneck strength = 0.25	1
0.010101010101010102	-0.2520179213181628	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.020202020202020204	-0.11514350946985163	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.030303030303030304	-0.056550512975764855	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.04040404040404041	-0.02540990998597059	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.050505050505050504	-0.0015989076610527508	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.06060606060606061	0.014352930298442312	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.0707070707070707	0.02507269318094174	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.08080808080808081	0.03894481555810503	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.09090909090909091	0.048177505726606173	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.10101010101010101	0.057280830372438474	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.1111111111111111	0.06469225008690194	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.12121212121212122	0.07289996439981339	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.13131313131313133	0.07998047161442823	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.1414141414141414	0.08550544399391313	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.15151515151515152	0.08961878726751238	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.16161616161616163	0.09424113378982646	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.1717171717171717	0.09854779614116871	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.18181818181818182	0.10281105612776509	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.1919191919191919	0.11082341993283806	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.20202020202020202	0.11307641118743916	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.21212121212121213	0.11663979118258505	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.2222222222222222	0.12088529369613932	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.23232323232323232	0.1239700795894515	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.24242424242424243	0.12675073077215127	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.25252525252525254	0.1283815838093576	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.26262626262626265	0.1324108354837934	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.2727272727272727	0.13341503071495564	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.2828282828282828	0.13621184839609934	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.29292929292929293	0.14064635883868126	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.30303030303030304	0.142171408523331	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.31313131313131315	0.1438390715611998	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.32323232323232326	0.1461971797049999	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.3333333333333333	0.14778741073196344	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
