trueAlpha	asymp_nopos	asymp	analysis	time
0.2029723991507431	0.11968908258480593	0.08802398728856914	twoepochs_s3	1
0.21475135034457069	0.1746550000734882	0.12895903786461516	twoepochs_s1	1
0.18966781468725696	-0.030239417256253284	-0.04699025041963477	twoepochs_s4	1
0.2120652019369893	0.19729259677724997	0.15757175365766554	twoepochs_s2	1
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	1
0.19960443409058928	0.10954090219855514	0.08667854819151526	twoepochs_s3	2
0.21247789845920687	0.1612743512021255	0.11897980316421153	twoepochs_s1	2
0.1857418168228682	-0.10041735411931531	-0.1152549519862627	twoepochs_s4	2
0.20949884654500955	0.1157005778282726	0.08409934743873942	twoepochs_s2	2
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	2
0.19600358533720716	0.008728450104465315	-0.01399324133921791	twoepochs_s3	3
0.21366955880875013	0.16049585702006625	0.11789611889567037	twoepochs_s1	3
0.18203812955912696	-0.18763506831292154	-0.20573391332448807	twoepochs_s4	3
0.20667761625769127	0.1682515799709431	0.13110410791768734	twoepochs_s2	3
0.21759725517641637	0.17600146073029255	0.12624331326337104	Equilibrium	3
